image_id,dimension,class_name,inference_time,bboxes,scores
000000329080.jpg,"[853.0, 640.0]","['couch', 'bed', 'bed']",14.831019401550293,"[[-3, 244, 435, 478], [-1, 247, 429, 475], [127, 293, 830, 632]]","['0.865', '0.999', '0.996']"
000000555705.jpg,"[1000.0, 580.0]","['cat', 'cat']",4.197202444076538,"[[23, 64, 563, 474], [439, 23, 999, 482]]","['0.996', '0.993']"
000000230166.jpg,"[957.0, 640.0]","['sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep']",4.3785579204559335,"[[59, 252, 249, 411], [439, 253, 740, 450], [278, 277, 372, 387], [374, 302, 444, 380], [0, 265, 53, 343], [728, 281, 752, 345], [806, 295, 841, 332], [24, 242, 190, 392], [885, 313, 951, 417]]","['0.998', '0.994', '0.964', '0.932', '0.923', '0.905', '0.876', '0.865', '0.816']"
000000528977.jpg,"[640.0, 853.0]",[],4.357423305511476,[],[]
000000563653.jpg,"[950.0, 640.0]","['person', 'person', 'person', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car']",3.8178024291992174,"[[154, 352, 199, 471], [105, 347, 155, 472], [630, 381, 640, 408], [352, 376, 402, 409], [765, 375, 916, 440], [441, 375, 509, 412], [560, 372, 606, 409], [267, 372, 313, 410], [423, 378, 452, 403], [516, 367, 568, 407], [400, 380, 418, 397]]","['0.998', '0.997', '0.908', '0.997', '0.996', '0.993', '0.979', '0.978', '0.942', '0.890', '0.813']"
000000405972.jpg,"[962.0, 640.0]","['elephant', 'elephant']",4.508555173873901,"[[185, 22, 659, 534], [127, 298, 439, 630]]","['1.000', '1.000']"
000000398742.jpg,"[640.0, 959.0]","['person', 'person', 'person', 'sports ball', 'car', 'car']",4.343174695968628,"[[1, 52, 548, 893], [441, 725, 635, 953], [75, 670, 515, 955], [329, 306, 446, 408], [0, 607, 152, 738], [524, 617, 641, 753]]","['0.994', '0.993', '0.983', '1.000', '0.987', '0.967']"
000000455352.jpg,"[773.0, 640.0]","['clock', 'clock']",4.374493837356567,"[[364, 500, 485, 618], [374, 187, 459, 289]]","['0.999', '0.997']"
000000532058.jpg,"[853.0, 640.0]","['bottle', 'bottle', 'person', 'person', 'bed']",3.043634414672852,"[[471, 290, 681, 374], [784, 1, 851, 128], [92, 198, 816, 603], [286, 176, 793, 422], [-6, 41, 902, 676]]","['0.978', '0.950', '0.996', '0.942', '0.990']"
000000400803.jpg,"[959.0, 640.0]","['boat', 'person']",3.069326162338257,"[[147, 122, 561, 591], [264, 399, 314, 470]]","['0.996', '0.897']"
000000464476.jpg,"[853.0, 640.0]","['tv', 'person']",2.967291831970215,"[[476, 357, 813, 604], [89, 97, 197, 412]]","['0.993', '0.999']"
000000090003.jpg,"[853.0, 640.0]","['dog', 'dog', 'frisbee', 'sheep']",3.042667865753174,"[[307, 269, 645, 489], [174, 270, 442, 441], [178, 334, 256, 366], [294, 280, 660, 495]]","['1.000', '0.999', '0.989', '0.829']"
000000481386.jpg,"[640.0, 959.0]","['bowl', 'wine glass', 'person', 'cup', 'potted plant']",2.991969585418701,"[[69, 334, 195, 415], [534, 114, 551, 155], [143, 142, 480, 872], [416, 202, 465, 238], [14, 19, 147, 223]]","['0.980', '0.853', '1.000', '0.814', '0.962']"
000000363875.jpg,"[640.0, 734.0]","['person', 'motorcycle']",4.316849231719972,"[[122, 21, 448, 510], [2, 156, 627, 717]]","['0.994', '0.999']"
