image_id,dimension,class_name,inference_time,bboxes,scores
000000329080.jpg,"[853.0, 640.0]","['bed', 'bed', 'couch']",17.189851999282837,"[[-1, 247, 429, 475], [127, 293, 830, 632], [-3, 244, 435, 478]]","['0.999', '0.996', '0.874']"
000000555705.jpg,"[1000.0, 580.0]","['cat', 'cat']",5.2569241523742685,"[[23, 64, 563, 474], [439, 23, 999, 482]]","['0.996', '0.993']"
000000230166.jpg,"[957.0, 640.0]","['cow', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep']",5.076389789581299,"[[433, 253, 744, 452], [439, 253, 740, 450], [59, 252, 249, 411], [278, 277, 372, 387], [374, 302, 444, 380], [0, 265, 53, 343], [728, 281, 752, 345], [806, 295, 841, 332], [24, 242, 190, 392], [885, 313, 951, 417]]","['0.933', '1.000', '0.998', '0.964', '0.935', '0.931', '0.916', '0.884', '0.865', '0.822']"
000000528977.jpg,"[640.0, 853.0]",[],5.377192974090576,[],[]
000000563653.jpg,"[950.0, 640.0]","['car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'backpack', 'person', 'person', 'person', 'truck', 'truck', 'truck', 'handbag']",4.575379848480225,"[[765, 376, 916, 439], [267, 372, 313, 410], [350, 376, 402, 409], [441, 375, 509, 412], [560, 372, 606, 409], [511, 364, 568, 407], [423, 378, 452, 403], [400, 380, 418, 397], [103, 370, 118, 421], [154, 352, 199, 471], [105, 347, 155, 472], [630, 381, 640, 408], [267, 371, 313, 410], [764, 376, 915, 439], [509, 363, 568, 407], [103, 370, 117, 420]]","['1.000', '0.999', '0.998', '0.995', '0.991', '0.986', '0.945', '0.817', '0.917', '0.998', '0.997', '0.909', '0.960', '0.943', '0.906', '0.915']"
000000405972.jpg,"[962.0, 640.0]","['elephant', 'elephant']",5.503540515899658,"[[185, 22, 659, 534], [127, 298, 439, 630]]","['1.000', '1.000']"
000000398742.jpg,"[640.0, 959.0]","['car', 'car', 'person', 'person', 'person', 'sports ball']",5.444061040878296,"[[0, 607, 152, 738], [524, 617, 641, 753], [1, 52, 548, 893], [441, 725, 635, 953], [75, 670, 515, 955], [329, 306, 446, 408]]","['0.988', '0.975', '0.994', '0.993', '0.983', '1.000']"
000000455352.jpg,"[773.0, 640.0]","['clock', 'clock']",5.237384796142578,"[[364, 500, 485, 618], [374, 187, 459, 289]]","['0.999', '0.997']"
000000532058.jpg,"[853.0, 640.0]","['bed', 'person', 'person', 'bottle', 'bottle']",3.540161609649658,"[[-6, 41, 902, 676], [92, 198, 816, 603], [286, 176, 793, 422], [469, 290, 680, 378], [784, 1, 851, 128]]","['0.990', '0.996', '0.942', '0.991', '0.949']"
000000400803.jpg,"[959.0, 640.0]","['boat', 'person']",3.614129066467285,"[[147, 122, 561, 591], [264, 399, 314, 470]]","['0.997', '0.897']"
000000464476.jpg,"[853.0, 640.0]","['tv', 'person']",3.5372443199157715,"[[476, 357, 813, 604], [89, 97, 197, 412]]","['0.995', '0.999']"
000000090003.jpg,"[853.0, 640.0]","['dog', 'dog', 'sheep', 'frisbee']",3.60050630569458,"[[307, 269, 645, 489], [174, 270, 442, 441], [306, 271, 645, 494], [178, 334, 256, 366]]","['1.000', '1.000', '0.913', '0.989']"
000000481386.jpg,"[640.0, 959.0]","['potted plant', 'wine glass', 'person', 'cup', 'bowl']",3.5032925605773926,"[[14, 19, 147, 223], [534, 114, 551, 155], [143, 142, 480, 872], [416, 202, 465, 238], [69, 334, 195, 415]]","['0.962', '0.831', '1.000', '0.814', '0.981']"
000000363875.jpg,"[640.0, 734.0]","['person', 'motorcycle']",4.971432685852051,"[[122, 21, 448, 510], [2, 156, 627, 717]]","['0.994', '0.999']"
000000129416.jpg,"[853.0, 640.0]","['cow', 'cow', 'cow', 'cow', 'cow', 'horse', 'horse', 'sheep']",3.5667541027069087,"[[701, 372, 804, 441], [57, 361, 92, 417], [449, 372, 525, 433], [141, 368, 187, 429], [247, 363, 322, 413], [57, 362, 92, 418], [142, 368, 186, 429], [141, 368, 186, 429]]","['0.999', '0.997', '0.988', '0.976', '0.820', '0.983', '0.816', '0.935']"
000000378673.jpg,"[962.0, 640.0]","['skateboard', 'car', 'car', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",3.5640773773193364,"[[475, 394, 610, 435], [411, 265, 459, 295], [0, 236, 32, 253], [356, 69, 629, 411], [904, 221, 932, 253], [373, 255, 406, 336], [736, 236, 758, 296], [669, 270, 687, 316], [115, 235, 140, 290], [685, 270, 707, 315], [785, 243, 813, 314], [824, 265, 843, 296], [139, 260, 168, 301], [168, 254, 189, 306], [756, 237, 779, 303], [809, 268, 827, 305], [654, 271, 670, 317], [297, 267, 324, 332], [833, 263, 861, 292], [98, 244, 113, 289]]","['1.000', '0.960', '0.816', '1.000', '0.988', '0.988', '0.966', '0.963', '0.955', '0.948', '0.925', '0.920', '0.905', '0.903', '0.886', '0.870', '0.865', '0.865', '0.820', '0.810']"
000000502910.jpg,"[640.0, 962.0]",[],5.366583347320557,[],[]
000000541773.jpg,"[853.0, 640.0]","['dining table', 'wine glass', 'wine glass', 'wine glass', 'person', 'bottle', 'bottle', 'bottle', 'bottle', 'cup', 'cup']",3.5709617137908936,"[[14, 364, 575, 630], [341, 475, 403, 637], [190, 544, 265, 637], [375, 562, 448, 638], [354, -6, 776, 637], [293, 371, 355, 601], [185, 346, 255, 592], [231, 337, 294, 547], [427, 90, 442, 139], [372, 566, 449, 640], [192, 545, 262, 634]]","['0.814', '0.999', '0.988', '0.957', '1.000', '0.998', '0.998', '0.993', '0.913', '0.924', '0.877']"
000000334417.jpg,"[968.0, 640.0]","['tie', 'person', 'pizza', 'train']",4.197882413864137,"[[494, 529, 553, 607], [171, 100, 895, 631], [418, 324, 531, 384], [-31, 20, 1028, 619]]","['0.991', '1.000', '0.980', '0.886']"
000000439715.jpg,"[853.0, 640.0]","['horse', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'umbrella', 'umbrella', 'umbrella']",3.5716116428375244,"[[173, 319, 624, 640], [337, 213, 447, 533], [748, 364, 793, 507], [152, 353, 198, 528], [64, 365, 105, 461], [0, 373, 98, 629], [686, 372, 748, 454], [683, 368, 747, 524], [514, 362, 551, 404], [466, 358, 510, 394], [444, 306, 523, 342], [676, 356, 765, 395], [445, 327, 551, 369]]","['1.000', '0.999', '0.989', '0.976', '0.973', '0.966', '0.960', '0.898', '0.867', '0.864', '0.884', '0.863', '0.821']"
000000466835.jpg,"[640.0, 853.0]","['banana', 'banana']",3.514785051345825,"[[223, 39, 458, 609], [240, 308, 441, 564]]","['0.983', '0.811']"
000000565469.jpg,"[640.0, 962.0]",[],3.4710173606872563,[],[]
000000507893.jpg,"[640.0, 959.0]","['sink', 'toilet']",3.4761064052581787,"[[455, 588, 582, 618], [441, 831, 583, 952]]","['0.975', '0.982']"
000000013729.jpg,"[853.0, 640.0]","['dining table', 'backpack', 'person', 'person', 'person', 'person', 'bottle', 'bottle', 'couch']",3.573214054107666,"[[639, 485, 849, 631], [2, 535, 123, 635], [103, 119, 330, 621], [337, 82, 449, 487], [483, 70, 645, 574], [201, 107, 301, 410], [721, 327, 737, 381], [690, 327, 707, 374], [269, 271, 521, 460]]","['0.922', '0.846', '0.999', '0.999', '0.999', '0.900', '0.974', '0.889', '0.963']"
000000106281.jpg,"[964.0, 640.0]","['boat', 'train', 'train']",3.612473487854004,"[[139, 71, 445, 641], [149, 88, 438, 620], [304, 86, 516, 210]]","['0.801', '0.998', '0.987']"
000000153527.jpg,"[853.0, 640.0]","['person', 'chair', 'chair']",3.628363609313965,"[[722, 80, 758, 141], [687, 116, 775, 209], [639, 119, 689, 214]]","['0.928', '0.953', '0.943']"
000000183391.jpg,"[640.0, 648.0]","['tennis racket', 'person', 'person', 'person']",4.981241226196289,"[[89, 8, 225, 132], [247, 97, 493, 606], [157, 149, 196, 232], [250, 324, 303, 378]]","['1.000', '1.000', '0.919', '0.872']"
000000367818.jpg,"[959.0, 640.0]","['horse', 'person']",3.571604013442993,"[[228, 81, 824, 567], [137, 114, 281, 609]]","['1.000', '1.000']"
000000502347.jpg,"[853.0, 640.0]","['kite', 'person', 'bird', 'airplane']",3.559851884841919,"[[458, 146, 506, 168], [111, 607, 122, 636], [458, 146, 506, 168], [459, 147, 505, 167]]","['0.979', '0.903', '0.905', '0.997']"
000000041872.jpg,"[962.0, 640.0]","['bed', 'tv', 'chair', 'chair', 'clock']",3.562891721725464,"[[-22, 266, 444, 622], [783, 127, 896, 259], [376, 379, 483, 536], [488, 381, 648, 549], [268, 208, 335, 290]]","['0.997', '0.966', '0.909', '0.856', '0.995']"
000000051738.jpg,"[853.0, 640.0]","['bed', 'couch', 'suitcase']",3.5520849227905287,"[[157, 194, 852, 629], [163, 242, 870, 631], [4, 283, 88, 480]]","['0.999', '0.833', '0.996']"
000000323151.jpg,"[640.0, 853.0]","['car', 'dining table', 'pizza', 'cup', 'bowl']",3.5297777652740483,"[[607, 247, 639, 309], [-21, 31, 671, 838], [0, 328, 598, 746], [502, 15, 636, 376], [139, 125, 387, 237]]","['0.962', '0.997', '0.998', '0.998', '0.951']"
000000564023.jpg,"[640.0, 853.0]",[],3.452265501022339,[],[]
000000127494.jpg,"[961.0, 640.0]","['dining table', 'spoon']",3.669306516647339,"[[-8, 11, 1001, 655], [279, 72, 440, 179]]","['0.951', '0.968']"
000000500565.jpg,"[879.0, 640.0]","['person', 'person', 'toothbrush']",5.153595447540283,"[[473, 109, 869, 624], [6, -3, 629, 635], [510, 414, 676, 522]]","['0.998', '0.998', '0.975']"
000000484415.jpg,"[853.0, 640.0]",['person'],3.5378894805908203,"[[28, 45, 556, 609]]",['0.880']
000000225670.jpg,"[959.0, 640.0]","['cow', 'dog', 'person', 'cat', 'frisbee']",3.6311960220336914,"[[381, 213, 605, 347], [378, 210, 605, 351], [832, 326, 865, 362], [383, 214, 601, 344], [657, 236, 701, 265]]","['0.997', '0.992', '0.924', '0.982', '1.000']"
000000460147.jpg,"[966.0, 640.0]","['car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'bus', 'bus', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck']",3.7179987430572514,"[[808, 406, 966, 567], [425, 295, 467, 326], [356, 441, 448, 539], [859, 253, 935, 300], [624, 260, 662, 290], [806, 329, 918, 411], [727, 296, 795, 341], [935, 383, 965, 460], [-1, 359, 135, 436], [703, 247, 729, 265], [673, 257, 705, 283], [454, 261, 480, 284], [696, 275, 739, 309], [490, 273, 552, 326], [702, 345, 831, 435], [357, 440, 448, 539], [653, 221, 685, 260], [357, 441, 447, 538], [698, 343, 832, 436], [1, 357, 136, 439], [652, 221, 686, 261], [806, 401, 967, 566], [486, 290, 640, 448], [726, 296, 795, 341], [858, 253, 935, 301], [805, 330, 920, 412]]","['0.998', '0.997', '0.995', '0.995', '0.994', '0.994', '0.983', '0.980', '0.971', '0.969', '0.968', '0.967', '0.946', '0.853', '0.811', '0.899', '0.806', '0.994', '0.994', '0.982', '0.976', '0.975', '0.973', '0.962', '0.946', '0.899']"
000000382743.jpg,"[853.0, 640.0]","['kite', 'kite', 'kite', 'kite', 'kite', 'umbrella']",3.5763578414916988,"[[140, 277, 246, 394], [369, 398, 503, 467], [-1, -12, 151, 383], [772, 447, 838, 530], [525, 415, 852, 635], [-1, -15, 151, 386]]","['0.999', '0.998', '0.974', '0.830', '0.812', '0.983']"
000000127476.jpg,"[640.0, 853.0]","['dining table', 'pizza']",3.5435659885406494,"[[-18, 11, 673, 908], [8, 46, 612, 828]]","['0.940', '0.982']"
000000300039.jpg,"[856.0, 640.0]","['person', 'bottle', 'bottle', 'cup', 'cup', 'cup']",3.6248776912689213,"[[0, 24, 417, 542], [325, 228, 396, 436], [533, -5, 701, 274], [349, 4, 516, 219], [386, 289, 458, 392], [748, -6, 853, 207]]","['0.924', '0.974', '0.876', '0.994', '0.975', '0.966']"
000000247917.jpg,"[640.0, 640.0]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'baseball glove', 'baseball glove', 'baseball glove', 'baseball glove']",5.004958152770996,"[[481, 233, 623, 585], [36, 219, 157, 619], [142, 244, 279, 616], [260, 250, 351, 603], [331, 260, 429, 596], [401, 230, 502, 584], [58, 58, 230, 335], [345, 97, 511, 314], [206, 195, 270, 321], [320, 210, 368, 327], [577, 402, 621, 458], [312, 439, 357, 503], [392, 436, 434, 494], [484, 435, 515, 477]]","['1.000', '1.000', '0.999', '0.995', '0.993', '0.992', '0.981', '0.968', '0.833', '0.815', '0.999', '0.995', '0.987', '0.962']"
000000150265.jpg,"[640.0, 853.0]","['person', 'person', 'fire hydrant']",3.5346133708953857,"[[25, 110, 208, 521], [165, 505, 431, 852], [408, 216, 462, 355]]","['1.000', '0.998', '0.998']"
000000329614.jpg,"[1000.0, 416.0]","['car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'bus', 'person', 'truck']",4.825650930404663,"[[573, 306, 684, 342], [68, 311, 257, 387], [307, 299, 369, 348], [767, 308, 827, 333], [893, 306, 957, 343], [853, 306, 907, 337], [511, 319, 542, 332], [85, 298, 118, 317], [417, 310, 449, 329], [48, 298, 80, 313], [242, 250, 425, 326], [117, 292, 171, 415], [572, 305, 687, 342]]","['1.000', '0.999', '0.998', '0.996', '0.979', '0.973', '0.956', '0.899', '0.844', '0.829', '0.999', '0.989', '0.900']"
000000489611.jpg,"[659.0, 640.0]","['remote', 'remote', 'remote', 'remote', 'potted plant', 'person']",4.999899625778198,"[[398, 348, 515, 516], [439, 352, 557, 509], [400, 358, 472, 455], [479, 353, 557, 410], [524, 84, 656, 208], [46, 8, 549, 634]]","['0.997', '0.990', '0.932', '0.908', '0.952', '1.000']"
000000410510.jpg,"[920.0, 640.0]","['person', 'sports ball']",5.049490690231323,"[[356, 266, 504, 477], [426, 288, 439, 304]]","['1.000', '0.928']"
000000519522.jpg,"[640.0, 959.0]","['clock', 'clock']",3.4947619438171387,"[[165, 373, 218, 443], [259, 373, 307, 442]]","['1.000', '1.000']"
000000157390.jpg,"[853.0, 640.0]","['dining table', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'broccoli', 'broccoli', 'broccoli', 'bowl']",3.611811876296997,"[[-51, 13, 826, 645], [410, 378, 577, 477], [619, 321, 712, 440], [110, 345, 275, 450], [106, 326, 379, 583], [125, 64, 703, 568], [331, 122, 485, 248], [326, 395, 572, 592], [111, 206, 304, 388], [17, 20, 771, 634]]","['0.973', '0.939', '0.935', '0.928', '0.870', '0.847', '0.966', '0.960', '0.885', '0.989']"
000000256518.jpg,"[962.0, 640.0]","['sandwich', 'dining table', 'cup', 'cup', 'bowl']",3.5083022117614746,"[[143, 216, 470, 436], [9, 3, 976, 640], [647, 67, 838, 312], [278, 2, 416, 172], [408, 1, 779, 138]]","['0.951', '0.957', '0.998', '0.915', '0.937']"
000000372260.jpg,"[640.0, 959.0]","['car', 'car', 'car', 'car', 'potted plant', 'clock', 'truck', 'truck']",3.527529001235962,"[[0, 468, 176, 777], [127, 450, 206, 505], [197, 455, 219, 497], [172, 455, 216, 501], [391, 482, 491, 649], [281, 96, 426, 240], [10, 442, 149, 504], [126, 449, 208, 506]]","['0.996', '0.986', '0.848', '0.821', '0.993', '1.000', '0.971', '0.856']"
000000369370.jpg,"[853.0, 640.0]","['sandwich', 'sandwich', 'sandwich', 'orange', 'broccoli', 'pizza']",3.5580012798309326,"[[34, 256, 620, 621], [336, 95, 836, 392], [4, 38, 279, 275], [244, 7, 422, 162], [577, 404, 850, 623], [326, 100, 848, 380]]","['0.992', '0.975', '0.958', '0.968', '0.905', '0.814']"
000000426253.jpg,"[959.0, 640.0]","['bottle', 'oven', 'microwave']",3.59641170501709,"[[877, 129, 957, 537], [81, 81, 901, 543], [73, 96, 889, 557]]","['0.991', '0.963', '1.000']"
000000514797.jpg,"[933.0, 640.0]","['kite', 'kite', 'person', 'person', 'person']",5.013564586639403,"[[400, 159, 649, 255], [355, 142, 806, 316], [16, 390, 113, 630], [570, 229, 734, 626], [326, 197, 527, 630]]","['0.921', '0.915', '1.000', '0.998', '0.994']"
000000092091.jpg,"[853.0, 640.0]","['tv', 'person', 'teddy bear', 'chair', 'chair', 'toothbrush']",3.5710968971252437,"[[234, 162, 430, 309], [333, 213, 595, 634], [570, 330, 848, 511], [11, 176, 285, 510], [0, 341, 276, 534], [509, 331, 531, 357]]","['0.998', '1.000', '0.998', '0.997', '0.802', '0.923']"
000000256192.jpg,"[853.0, 640.0]","['person', 'person', 'person', 'person', 'person', 'person', 'motorcycle']",3.608636140823364,"[[8, 78, 62, 256], [138, 46, 188, 224], [68, 89, 120, 244], [784, 96, 834, 218], [34, 50, 72, 136], [189, 77, 243, 231], [67, 86, 761, 594]]","['0.942', '0.932', '0.920', '0.875', '0.841', '0.802', '1.000']"
000000459437.jpg,"[962.0, 640.0]","['giraffe', 'person', 'sheep', 'sheep']",3.5783934593200684,"[[305, 157, 542, 599], [-1, 261, 349, 574], [473, 142, 960, 627], [304, 159, 488, 329]]","['0.823', '0.984', '0.994', '0.954']"
000000520264.jpg,"[853.0, 640.0]","['person', 'person', 'pizza', 'pizza', 'bottle', 'bottle', 'bottle', 'oven', 'microwave']",3.6151430606842037,"[[546, 230, 735, 633], [428, 262, 571, 629], [39, 538, 183, 581], [97, 599, 202, 636], [362, 389, 382, 456], [325, 400, 352, 502], [346, 393, 364, 464], [135, 427, 324, 563], [134, 424, 323, 558]]","['0.999', '0.993', '0.948', '0.884', '0.985', '0.974', '0.872', '0.853', '1.000']"
000000579970.jpg,"[952.0, 640.0]",['chair'],3.5883862972259517,"[[500, 286, 602, 379]]",['0.942']
