image_id,dimension,class_name,inference_time,bboxes,scores
000000397133.jpg,"[959.0, 640.0]","['person', 'person', 'cup', 'spoon', 'spoon', 'bowl', 'bowl', 'bowl', 'potted plant', 'dining table']",49.71112275123596,"[[580, 103, 749, 514], [2, 395, 89, 456], [233, 168, 260, 193], [799, 69, 832, 193], [802, 72, 817, 182], [234, 249, 271, 276], [49, 514, 147, 574], [85, 433, 202, 488], [0, 11, 93, 219], [-1, 351, 546, 632]]","['1.000', '0.930', '0.838', '0.985', '0.810', '0.982', '0.955', '0.894', '0.883', '0.848']"
000000037777.jpg,"[979.0, 640.0]","['banana', 'orange', 'orange', 'dining table', 'oven', 'refrigerator']",40.3431248664856,"[[648, 521, 714, 578], [645, 555, 690, 603], [604, 519, 644, 559], [254, 497, 820, 630], [394, 356, 546, 535], [831, 211, 976, 634]]","['0.823', '0.933', '0.807', '0.959', '0.968', '0.996']"
000000252219.jpg,"[957.0, 640.0]","['person', 'person', 'person', 'traffic light', 'umbrella', 'chair']",38.396832466125495,"[[1, 250, 195, 591], [757, 251, 950, 579], [490, 256, 592, 555], [506, 67, 599, 154], [843, 135, 957, 239], [313, 360, 471, 547]]","['1.000', '1.000', '1.000', '0.996', '0.934', '0.909']"
000000087038.jpg,"[853.0, 640.0]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'snowboard', 'skateboard']",40.12506866455078,"[[343, 298, 400, 429], [467, 231, 558, 472], [114, 309, 152, 375], [90, 317, 111, 371], [245, 306, 259, 353], [272, 307, 290, 350], [412, 292, 432, 349], [554, 305, 578, 352], [837, 292, 851, 359], [293, 308, 305, 346], [341, 368, 411, 442], [394, 422, 484, 477], [392, 422, 487, 477]]","['1.000', '0.999', '0.979', '0.974', '0.895', '0.884', '0.859', '0.851', '0.851', '0.807', '0.999', '0.901', '1.000']"
000000174482.jpg,"[1000.0, 606.0]","['bicycle', 'car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'truck']",40.07039260864258,"[[287, 23, 768, 601], [236, 110, 374, 174], [622, 126, 748, 178], [776, 40, 998, 214], [742, 124, 806, 182], [570, 137, 625, 168], [776, 38, 1001, 217], [234, 110, 375, 174], [620, 127, 749, 178]]","['1.000', '1.000', '1.000', '0.996', '0.978', '0.954', '0.999', '0.989', '0.954']"
000000403385.jpg,"[802.0, 640.0]","['cup', 'toilet', 'sink']",40.04306650161743,"[[546, 265, 573, 297], [513, 295, 633, 598], [4, 388, 181, 494]]","['0.829', '0.999', '0.998']"
000000006818.jpg,"[640.0, 959.0]","['cup', 'toilet']",39.555071592330926,"[[531, 727, 640, 873], [277, 708, 445, 786]]","['0.885', '0.922']"
000000480985.jpg,"[640.0, 853.0]","['person', 'person', 'person', 'person', 'motorcycle', 'motorcycle']",39.913013219833374,"[[538, 465, 593, 647], [51, 509, 83, 559], [83, 501, 128, 624], [83, 502, 125, 563], [25, 71, 597, 819], [586, 503, 636, 564]]","['0.993', '0.947', '0.885', '0.876', '0.995', '0.804']"
000000458054.jpg,"[962.0, 640.0]","['toilet', 'toilet', 'toilet']",40.08745193481445,"[[22, 35, 437, 586], [221, 105, 831, 583], [324, 271, 684, 586]]","['0.986', '0.977', '0.851']"
000000331352.jpg,"[640.0, 912.0]","['toilet', 'sink']",39.48268151283264,"[[69, 85, 580, 903], [109, 105, 544, 288]]","['0.993', '0.868']"
000000296649.jpg,"[959.0, 640.0]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'car', 'car', 'car', 'motorcycle', 'motorcycle', 'bus']",38.736624717712395,"[[4, 397, 145, 637], [742, 416, 881, 583], [410, 437, 495, 621], [646, 409, 786, 602], [484, 434, 586, 625], [180, 405, 206, 442], [835, 466, 880, 536], [161, 402, 183, 446], [883, 431, 954, 521], [639, 481, 963, 631], [348, 419, 392, 466], [-8, 422, 254, 624], [388, 492, 653, 634], [345, 405, 391, 464]]","['0.998', '0.993', '0.986', '0.984', '0.980', '0.962', '0.955', '0.945', '0.938', '0.899', '0.893', '0.997', '0.997', '0.856']"
000000386912.jpg,"[853.0, 640.0]","['person', 'laptop', 'book', 'book', 'book', 'book', 'book']",38.979572057724,"[[284, 188, 563, 552], [67, 339, 399, 591], [363, 540, 556, 633], [716, 444, 744, 543], [781, 523, 851, 547], [784, 509, 851, 559], [768, 3, 801, 111]]","['0.999', '0.974', '0.905', '0.891', '0.888', '0.882', '0.836']"
000000502136.jpg,"[757.0, 640.0]","['potted plant', 'potted plant', 'vase', 'vase']",40.33277010917664,"[[3, 430, 194, 587], [502, 462, 605, 573], [534, 518, 569, 567], [74, 528, 114, 588]]","['0.990', '0.982', '0.993', '0.944']"
000000491497.jpg,"[640.0, 853.0]","['person', 'chair', 'couch', 'bed', 'tv', 'laptop', 'book']",38.551795959472656,"[[8, 375, 133, 527], [293, 488, 614, 846], [278, 494, 620, 847], [288, 502, 610, 848], [-3, 312, 162, 612], [-5, 308, 167, 634], [533, 249, 557, 332]]","['0.983', '0.877', '0.992', '0.993', '0.999', '0.925', '0.833']"
000000184791.jpg,"[819.0, 640.0]","['bowl', 'orange', 'orange', 'vase']",40.221675157547004,"[[171, 405, 358, 508], [117, 283, 194, 357], [406, 351, 504, 436], [198, 131, 452, 419]]","['0.955', '0.921', '0.814', '0.981']"
000000348881.jpg,"[887.0, 640.0]","['person', 'boat', 'suitcase']",41.03786039352417,"[[782, 373, 831, 476], [800, 263, 885, 335], [778, 432, 798, 472]]","['0.996', '0.967', '0.882']"
000000289393.jpg,"[853.0, 640.0]","['bird', 'dog', 'cow', 'giraffe']",38.892940044403076,"[[701, 436, 852, 626], [440, 286, 700, 562], [98, 287, 480, 549], [38, 112, 374, 329]]","['0.867', '0.989', '0.997', '0.978']"
000000522713.jpg,"[853.0, 640.0]","['boat', 'boat', 'boat', 'bench']",39.23747706413268,"[[586, 351, 619, 360], [515, 352, 546, 362], [474, 328, 502, 360], [543, 378, 746, 472]]","['0.991', '0.855', '0.804', '1.000']"
000000181666.jpg,"[964.0, 640.0]","['person', 'person', 'person', 'bird', 'dog', 'horse', 'horse', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'cow', 'cow', 'cow', 'cow', 'zebra']",38.83010554313661,"[[408, 250, 488, 411], [79, 283, 113, 330], [2, 276, 26, 386], [912, 423, 962, 570], [911, 426, 961, 572], [408, 419, 516, 606], [142, 437, 237, 611], [517, 416, 634, 593], [327, 466, 411, 634], [646, 449, 736, 604], [246, 446, 327, 627], [912, 426, 961, 567], [750, 437, 888, 608], [694, 322, 760, 367], [139, 433, 231, 611], [27, 433, 109, 564], [513, 417, 638, 587], [644, 447, 738, 603], [2, 429, 43, 556]]","['0.986', '0.937', '0.921', '0.863', '0.879', '0.892', '0.844', '0.998', '0.991', '0.982', '0.979', '0.977', '0.975', '0.969', '0.989', '0.938', '0.877', '0.819', '0.812']"
000000017627.jpg,"[853.0, 640.0]","['person', 'person', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'truck', 'truck', 'truck']",39.096575021743774,"[[200, 295, 226, 394], [345, 304, 362, 331], [546, 312, 642, 376], [351, 307, 499, 404], [640, 312, 759, 379], [795, 322, 852, 371], [230, 314, 363, 397], [736, 320, 780, 368], [35, 307, 168, 434], [37, 287, 144, 357], [451, 304, 506, 374], [617, 309, 665, 344], [137, 319, 173, 366], [5, 206, 76, 622], [34, 292, 167, 419], [795, 322, 853, 371], [639, 313, 758, 380], [545, 312, 643, 376], [32, 286, 148, 361]]","['0.991', '0.949', '1.000', '1.000', '0.999', '0.999', '0.998', '0.994', '0.985', '0.916', '0.915', '0.857', '0.833', '0.815', '0.933', '0.868', '0.865', '0.836', '0.833']"
000000143931.jpg,"[853.0, 640.0]","['person', 'bus', 'truck']",38.74333381652832,"[[598, 206, 719, 392], [-174, -1, 852, 641], [-8, 0, 888, 625]]","['0.981', '0.997', '0.818']"
000000303818.jpg,"[640.0, 853.0]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'car', 'car', 'car', 'bus', 'handbag']",38.624350547790534,"[[332, 257, 375, 358], [412, 267, 451, 366], [256, 261, 285, 351], [207, 259, 231, 324], [388, 270, 414, 364], [317, 255, 345, 348], [13, 246, 34, 283], [277, 247, 303, 343], [48, 233, 67, 266], [222, 254, 240, 322], [231, 253, 254, 325], [4, 262, 175, 366], [68, 222, 95, 240], [208, 223, 222, 238], [452, 92, 642, 406], [280, 298, 300, 330]]","['0.995', '0.990', '0.982', '0.975', '0.970', '0.965', '0.952', '0.928', '0.879', '0.838', '0.809', '1.000', '0.941', '0.856', '1.000', '0.924']"
