image_id,dimension,class_name,inference_time,bboxes,scores
000000329080.jpg,"[416.0, 312.0]","['bed', 'bed']",1240.0738871097565,"[[2, 106, 214, 240], [78, 109, 401, 309]]","['0.970', '0.898']"
000000555705.jpg,"[416.0, 241.0]","['cat', 'cat']",5.9766578674316415,"[[2, 33, 213, 197], [202, 12, 407, 204]]","['0.965', '0.963']"
000000230166.jpg,"[416.0, 278.0]",['sheep'],5.82310676574707,"[[203, 110, 324, 192]]",['0.960']
000000528977.jpg,"[312.0, 416.0]",[],5.868876457214356,[],[]
000000563653.jpg,"[416.0, 280.0]","['car', 'car', 'car', 'car', 'person']",4.613408327102661,"[[336, 162, 402, 192], [196, 164, 223, 180], [154, 162, 177, 179], [183, 165, 194, 176], [46, 152, 67, 205]]","['0.976', '0.883', '0.866', '0.845', '0.947']"
000000405972.jpg,"[416.0, 277.0]","['elephant', 'elephant']",4.496108770370483,"[[77, 10, 275, 227], [50, 130, 194, 272]]","['0.996', '0.938']"
000000398742.jpg,"[278.0, 416.0]","['sports ball', 'person', 'person', 'person']",5.775769948959353,"[[144, 133, 193, 176], [2, 27, 240, 344], [36, 292, 227, 416], [188, 319, 274, 410]]","['0.985', '0.972', '0.958', '0.919']"
000000455352.jpg,"[416.0, 344.0]",['clock'],5.900746583938599,"[[196, 270, 260, 332]]",['0.983']
000000532058.jpg,"[416.0, 312.0]",[],4.314811706542969,[],[]
000000400803.jpg,"[416.0, 278.0]",['boat'],4.3668174743652335,"[[63, 48, 240, 259]]",['0.984']
000000464476.jpg,"[416.0, 312.0]","['tv', 'person']",4.417672157287598,"[[227, 176, 402, 312], [41, 47, 99, 201]]","['0.853', '0.944']"
000000090003.jpg,"[416.0, 312.0]","['dog', 'frisbee', 'dog']",4.4563984870910645,"[[141, 131, 320, 240], [87, 161, 122, 178], [88, 127, 212, 217]]","['0.978', '0.975', '0.927']"
000000481386.jpg,"[278.0, 416.0]",['person'],4.337998390197754,"[[62, 63, 204, 379]]",['0.991']
000000363875.jpg,"[363.0, 416.0]","['motorcycle', 'person']",5.916646957397461,"[[6, 82, 355, 411], [75, 13, 250, 285]]","['0.997', '0.975']"
000000129416.jpg,"[416.0, 312.0]","['cow', 'cow', 'cow', 'cow', 'cow']",4.414474725723267,"[[218, 181, 254, 211], [341, 182, 392, 213], [163, 187, 181, 208], [28, 176, 44, 204], [68, 179, 89, 210]]","['0.970', '0.934', '0.916', '0.891', '0.813']"
000000378673.jpg,"[416.0, 277.0]","['skateboard', 'person']",4.50178861618042,"[[200, 171, 270, 188], [148, 29, 272, 178]]","['0.829', '0.987']"
000000502910.jpg,"[277.0, 416.0]",[],4.39786958694458,[],[]
000000541773.jpg,"[416.0, 312.0]","['bottle', 'wine glass', 'bottle', 'wine glass', 'bottle', 'dining table', 'cup', 'person']",4.531538963317871,"[[116, 164, 143, 264], [166, 234, 198, 314], [140, 180, 174, 294], [93, 267, 127, 310], [89, 169, 124, 299], [13, 178, 249, 313], [185, 275, 218, 311], [166, -2, 382, 314]]","['0.969', '0.960', '0.950', '0.888', '0.846', '0.929', '0.825', '0.994']"
000000334417.jpg,"[416.0, 275.0]",['person'],4.936476707458496,"[[84, 50, 382, 274]]",['0.990']
000000439715.jpg,"[416.0, 312.0]","['horse', 'person', 'person', 'person']",4.523026943206787,"[[83, 159, 307, 316], [74, 173, 96, 258], [177, 105, 219, 264], [251, 176, 268, 197]]","['0.995', '0.950', '0.943', '0.818']"
000000466835.jpg,"[312.0, 416.0]",['banana'],4.477487564086914,"[[113, 39, 220, 299]]",['0.864']
000000565469.jpg,"[277.0, 416.0]",['clock'],4.447007417678833,"[[106, 47, 137, 69]]",['0.801']
000000507893.jpg,"[278.0, 416.0]",['toilet'],4.437104463577271,"[[191, 360, 252, 413]]",['0.956']
000000013729.jpg,"[416.0, 312.0]","['remote', 'person', 'person', 'person']",4.56095552444458,"[[244, 93, 258, 105], [235, 39, 315, 275], [48, 57, 159, 304], [165, 37, 220, 245]]","['0.871', '0.988', '0.987', '0.933']"
000000106281.jpg,"[416.0, 276.0]",['train'],4.660733222961426,"[[58, 36, 187, 277]]",['0.944']
000000153527.jpg,"[416.0, 312.0]",[],4.603420734405519,[],[]
000000183391.jpg,"[411.0, 416.0]","['tennis racket', 'person']",6.0977537631988525,"[[60, 1, 147, 90], [136, 65, 320, 392]]","['0.973', '0.970']"
000000367818.jpg,"[416.0, 278.0]","['horse', 'person']",4.639188766479492,"[[86, 38, 351, 253], [56, 53, 122, 258]]","['0.995', '0.943']"
000000502347.jpg,"[416.0, 312.0]",[],4.620151519775392,[],[]
000000041872.jpg,"[416.0, 277.0]","['clock', 'tv']",4.651075839996338,"[[116, 91, 144, 124], [338, 54, 386, 111]]","['0.936', '0.933']"
000000051738.jpg,"[416.0, 312.0]",['bed'],4.644564867019653,"[[91, 110, 411, 307]]",['0.840']
000000323151.jpg,"[312.0, 416.0]","['pizza', 'cup']",4.59256386756897,"[[0, 164, 285, 358], [245, 11, 314, 187]]","['0.936', '0.920']"
000000564023.jpg,"[312.0, 416.0]",['toilet'],4.611707448959352,"[[118, 263, 163, 339]]",['0.981']
000000127494.jpg,"[416.0, 277.0]",[],4.699758768081665,[],[]
000000500565.jpg,"[416.0, 303.0]","['person', 'person']",5.991151571273804,"[[3, 1, 279, 297], [212, 57, 415, 301]]","['0.939', '0.905']"
000000484415.jpg,"[416.0, 312.0]",[],4.670316696166992,[],[]
000000225670.jpg,"[416.0, 278.0]",['frisbee'],4.6763293743133545,"[[285, 102, 304, 113]]",['0.912']
000000460147.jpg,"[416.0, 276.0]","['car', 'car', 'car', 'car']",4.685528516769409,"[[155, 189, 192, 233], [0, 157, 56, 187], [314, 126, 339, 147], [269, 112, 284, 124]]","['0.906', '0.856', '0.848', '0.800']"
000000382743.jpg,"[416.0, 312.0]","['kite', 'kite']",4.684868097305298,"[[179, 192, 245, 229], [67, 134, 120, 192]]","['0.981', '0.959']"
000000127476.jpg,"[312.0, 416.0]",['pizza'],4.6784536838531485,"[[0, 20, 299, 403]]",['0.878']
000000300039.jpg,"[416.0, 311.0]","['bottle', 'cup', 'cup']",4.819595336914063,"[[265, -5, 347, 129], [168, -1, 252, 101], [188, 142, 223, 188]]","['0.856', '0.870', '0.862']"
000000247917.jpg,"[416.0, 416.0]","['baseball glove', 'baseball glove', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",5.201964855194092,"[[202, 285, 231, 328], [372, 260, 401, 301], [217, 158, 278, 392], [93, 159, 179, 403], [311, 149, 405, 377], [27, 142, 107, 401], [226, 63, 332, 203], [170, 159, 226, 392], [262, 151, 326, 374]]","['0.948', '0.859', '0.984', '0.984', '0.983', '0.973', '0.962', '0.956', '0.845']"
000000150265.jpg,"[312.0, 416.0]","['fire hydrant', 'person', 'person']",4.710263252258301,"[[199, 106, 225, 172], [12, 53, 100, 253], [81, 240, 207, 413]]","['0.989', '0.995', '0.970']"
000000329614.jpg,"[416.0, 173.0]","['bus', 'car', 'car', 'car', 'car', 'car']",6.16818118095398,"[[101, 104, 177, 134], [237, 127, 284, 142], [30, 130, 102, 162], [127, 126, 154, 146], [172, 129, 187, 137], [6, 123, 17, 128]]","['0.957', '0.948', '0.917', '0.915', '0.872', '0.811']"
000000489611.jpg,"[416.0, 404.0]","['potted plant', 'person']",5.582367420196533,"[[332, 53, 417, 132], [33, 10, 367, 405]]","['0.839', '0.997']"
000000410510.jpg,"[416.0, 289.0]","['sports ball', 'person']",5.518441677093506,"[[193, 130, 198, 136], [161, 120, 220, 217]]","['0.967', '0.986']"
000000519522.jpg,"[278.0, 416.0]","['clock', 'clock']",4.663203477859497,"[[71, 162, 95, 191], [111, 162, 133, 191]]","['0.972', '0.960']"
