image_id,dimension,class_name,inference_time,bboxes,scores
000000329080.jpg,"[416.0, 312.0]","['bed', 'bed']",1.5172498226165771,"[[2, 106, 214, 240], [78, 109, 401, 309]]","['0.970', '0.898']"
000000555705.jpg,"[416.0, 241.0]","['cat', 'cat']",1.419938325881958,"[[2, 33, 213, 197], [202, 12, 407, 204]]","['0.965', '0.963']"
000000230166.jpg,"[416.0, 278.0]",['sheep'],1.3711268901824951,"[[203, 110, 324, 192]]",['0.960']
000000528977.jpg,"[312.0, 416.0]",[],1.541332483291626,[],[]
000000563653.jpg,"[416.0, 280.0]","['car', 'person', 'car', 'car', 'car']",0.24930286407470703,"[[336, 162, 402, 192], [46, 152, 67, 205], [196, 164, 223, 180], [154, 162, 177, 179], [183, 165, 194, 176]]","['0.976', '0.947', '0.883', '0.866', '0.845']"
000000405972.jpg,"[416.0, 277.0]","['elephant', 'elephant']",0.08418655395507812,"[[77, 10, 275, 227], [50, 130, 194, 272]]","['0.996', '0.938']"
000000398742.jpg,"[278.0, 416.0]","['sports ball', 'person', 'person', 'person']",1.4252228736877441,"[[144, 133, 193, 176], [2, 27, 240, 344], [36, 292, 227, 416], [188, 319, 274, 410]]","['0.985', '0.972', '0.958', '0.919']"
000000455352.jpg,"[416.0, 344.0]",['clock'],1.4114675521850586,"[[196, 270, 260, 332]]",['0.983']
000000532058.jpg,"[416.0, 312.0]",[],0.031946420669555664,[],[]
000000400803.jpg,"[416.0, 278.0]",['boat'],0.0335392951965332,"[[63, 48, 240, 259]]",['0.984']
000000464476.jpg,"[416.0, 312.0]","['person', 'tv']",0.032289981842041016,"[[41, 47, 99, 201], [227, 176, 402, 312]]","['0.944', '0.853']"
000000090003.jpg,"[416.0, 312.0]","['dog', 'frisbee', 'dog']",0.03496146202087402,"[[141, 131, 320, 240], [87, 161, 122, 178], [88, 127, 212, 217]]","['0.978', '0.975', '0.927']"
000000481386.jpg,"[278.0, 416.0]",['person'],0.03308558464050293,"[[62, 63, 204, 379]]",['0.991']
000000363875.jpg,"[363.0, 416.0]","['motorcycle', 'person']",1.4708781242370605,"[[6, 82, 355, 411], [75, 13, 250, 285]]","['0.997', '0.975']"
000000129416.jpg,"[416.0, 312.0]","['cow', 'cow', 'cow', 'cow', 'cow']",0.03486156463623047,"[[218, 181, 254, 211], [341, 182, 392, 213], [163, 187, 181, 208], [28, 176, 44, 204], [68, 179, 89, 210]]","['0.970', '0.934', '0.916', '0.891', '0.813']"
000000378673.jpg,"[416.0, 277.0]","['person', 'skateboard']",0.03467583656311035,"[[148, 29, 272, 178], [200, 171, 270, 188]]","['0.987', '0.829']"
000000502910.jpg,"[277.0, 416.0]",[],0.08024096488952637,[],[]
000000541773.jpg,"[416.0, 312.0]","['person', 'bottle', 'wine glass', 'bottle', 'dining table', 'wine glass', 'bottle', 'cup']",0.03804779052734375,"[[166, -2, 382, 314], [116, 164, 143, 264], [166, 234, 198, 314], [140, 180, 174, 294], [13, 178, 249, 313], [93, 267, 127, 310], [89, 169, 124, 299], [185, 275, 218, 311]]","['0.994', '0.969', '0.960', '0.950', '0.929', '0.888', '0.846', '0.825']"
000000334417.jpg,"[416.0, 275.0]",['person'],0.420184850692749,"[[84, 50, 382, 274]]",['0.990']
000000439715.jpg,"[416.0, 312.0]","['horse', 'person', 'person', 'person']",0.03486824035644531,"[[83, 159, 307, 316], [74, 173, 96, 258], [177, 105, 219, 264], [251, 176, 268, 197]]","['0.995', '0.950', '0.943', '0.818']"
000000466835.jpg,"[312.0, 416.0]",['banana'],0.03400874137878418,"[[113, 39, 220, 299]]",['0.864']
000000565469.jpg,"[277.0, 416.0]",['clock'],0.032041072845458984,"[[106, 47, 137, 69]]",['0.801']
000000507893.jpg,"[278.0, 416.0]",['toilet'],0.03281378746032715,"[[191, 360, 252, 413]]",['0.956']
000000013729.jpg,"[416.0, 312.0]","['person', 'person', 'person', 'remote']",0.03386545181274414,"[[235, 39, 315, 275], [48, 57, 159, 304], [165, 37, 220, 245], [244, 93, 258, 105]]","['0.988', '0.987', '0.933', '0.871']"
000000106281.jpg,"[416.0, 276.0]",['train'],0.08724761009216309,"[[58, 36, 187, 277]]",['0.944']
000000153527.jpg,"[416.0, 312.0]",[],0.03183269500732422,[],[]
000000183391.jpg,"[411.0, 416.0]","['tennis racket', 'person']",1.4520816802978516,"[[60, 1, 147, 90], [136, 65, 320, 392]]","['0.973', '0.970']"
000000367818.jpg,"[416.0, 278.0]","['horse', 'person']",0.03427314758300781,"[[86, 38, 351, 253], [56, 53, 122, 258]]","['0.995', '0.943']"
000000502347.jpg,"[416.0, 312.0]",[],0.031423330307006836,[],[]
000000041872.jpg,"[416.0, 277.0]","['clock', 'tv']",0.03276515007019043,"[[116, 91, 144, 124], [338, 54, 386, 111]]","['0.936', '0.933']"
000000051738.jpg,"[416.0, 312.0]",['bed'],0.031572818756103516,"[[91, 110, 411, 307]]",['0.840']
000000323151.jpg,"[312.0, 416.0]","['pizza', 'cup']",0.03290057182312012,"[[0, 164, 285, 358], [245, 11, 314, 187]]","['0.936', '0.920']"
000000564023.jpg,"[312.0, 416.0]",['toilet'],0.032399892807006836,"[[118, 263, 163, 339]]",['0.981']
000000127494.jpg,"[416.0, 277.0]",[],0.03140687942504883,[],[]
000000500565.jpg,"[416.0, 303.0]","['person', 'person']",1.1801116466522217,"[[3, 1, 279, 297], [212, 57, 415, 301]]","['0.939', '0.905']"
000000484415.jpg,"[416.0, 312.0]",[],0.029413700103759766,[],[]
000000225670.jpg,"[416.0, 278.0]",['frisbee'],0.032274484634399414,"[[285, 102, 304, 113]]",['0.912']
000000460147.jpg,"[416.0, 276.0]","['car', 'car', 'car', 'car']",0.034215450286865234,"[[155, 189, 192, 233], [0, 157, 56, 187], [314, 126, 339, 147], [269, 112, 284, 124]]","['0.906', '0.856', '0.848', '0.800']"
000000382743.jpg,"[416.0, 312.0]","['kite', 'kite']",0.033678293228149414,"[[179, 192, 245, 229], [67, 134, 120, 192]]","['0.981', '0.959']"
000000127476.jpg,"[312.0, 416.0]",['pizza'],0.03401517868041992,"[[0, 20, 299, 403]]",['0.878']
000000300039.jpg,"[416.0, 311.0]","['cup', 'cup', 'bottle']",0.089263916015625,"[[168, -1, 252, 101], [188, 142, 223, 188], [265, -5, 347, 129]]","['0.870', '0.862', '0.856']"
000000247917.jpg,"[416.0, 416.0]","['person', 'person', 'person', 'person', 'person', 'person', 'baseball glove', 'baseball glove', 'person']",0.4275672435760498,"[[217, 158, 278, 392], [93, 159, 179, 403], [311, 149, 405, 377], [27, 142, 107, 401], [226, 63, 332, 203], [170, 159, 226, 392], [202, 285, 231, 328], [372, 260, 401, 301], [262, 151, 326, 374]]","['0.984', '0.984', '0.983', '0.973', '0.962', '0.956', '0.948', '0.859', '0.845']"
000000150265.jpg,"[312.0, 416.0]","['person', 'fire hydrant', 'person']",0.034845829010009766,"[[12, 53, 100, 253], [199, 106, 225, 172], [81, 240, 207, 413]]","['0.995', '0.989', '0.970']"
000000329614.jpg,"[416.0, 173.0]","['bus', 'car', 'car', 'car', 'car', 'car']",1.3816041946411133,"[[101, 104, 177, 134], [237, 127, 284, 142], [30, 130, 102, 162], [127, 126, 154, 146], [172, 129, 187, 137], [6, 123, 17, 128]]","['0.957', '0.948', '0.917', '0.915', '0.872', '0.811']"
000000489611.jpg,"[416.0, 404.0]","['person', 'potted plant']",0.8230857849121094,"[[33, 10, 367, 405], [332, 53, 417, 132]]","['0.997', '0.839']"
000000410510.jpg,"[416.0, 289.0]","['person', 'sports ball']",0.7591140270233154,"[[161, 120, 220, 217], [193, 130, 198, 136]]","['0.986', '0.967']"
000000519522.jpg,"[278.0, 416.0]","['clock', 'clock']",0.03401637077331543,"[[71, 162, 95, 191], [111, 162, 133, 191]]","['0.972', '0.960']"
