actual_class,predicted_class,value,normalized
car,truck,436,1.0
truck,car,324,0.74
couch,chair,225,0.51
chair,couch,195,0.45
cow,sheep,111,0.25
bowl,cup,102,0.23
cup,bowl,99,0.23
bus,truck,97,0.22
cow,horse,95,0.22
chair,bench,83,0.19
dog,cat,80,0.18
pizza,dining table,75,0.17
sheep,cow,73,0.17
truck,bus,69,0.16
hot dog,sandwich,69,0.16
tv,laptop,69,0.16
bus,train,67,0.15
cup,wine glass,66,0.15
cup,bottle,66,0.15
cat,dog,63,0.14
bed,couch,63,0.14
laptop,tv,60,0.14
dog,cow,59,0.13
bottle,cup,57,0.13
pizza,sandwich,50,0.11
train,bus,50,0.11
horse,cow,49,0.11
microwave,oven,48,0.11
handbag,backpack,47,0.11
cow,dog,46,0.1
wine glass,cup,46,0.1
bench,chair,45,0.1
couch,bed,44,0.1
bowl,dining table,42,0.09
bottle,vase,41,0.09
vase,bottle,38,0.09
dog,sheep,36,0.08
cell phone,remote,34,0.08
bear,dog,33,0.07
backpack,handbag,31,0.07
fork,spoon,30,0.07
bowl,broccoli,30,0.07
donut,cake,30,0.07
motorcycle,bicycle,29,0.06
cup,vase,29,0.06
bench,dining table,28,0.06
sink,bowl,26,0.06
bird,kite,26,0.06
bear,sheep,25,0.06
bus,car,25,0.06
cake,sandwich,25,0.06
refrigerator,oven,25,0.06
fork,knife,24,0.05
skis,snowboard,23,0.05
suitcase,backpack,23,0.05
dining table,bench,22,0.05
cat,laptop,22,0.05
sandwich,cake,21,0.05
vase,cup,21,0.05
remote,cell phone,21,0.05
laptop,keyboard,21,0.05
dog,horse,20,0.04
spoon,fork,20,0.04
cake,donut,20,0.04
snowboard,skis,20,0.04
knife,spoon,20,0.04
sheep,dog,18,0.04
bear,cow,18,0.04
dining table,chair,18,0.04
dining table,pizza,18,0.04
carrot,bowl,18,0.04
chair,dining table,17,0.04
laptop,book,17,0.04
donut,hot dog,17,0.04
oven,microwave,17,0.04
laptop,dining table,17,0.04
dining table,bowl,16,0.03
umbrella,kite,16,0.03
microwave,tv,16,0.03
train,truck,16,0.03
dining table,oven,16,0.03
elephant,sheep,15,0.03
car,bus,15,0.03
pizza,oven,15,0.03
dog,bear,15,0.03
horse,dog,15,0.03
sandwich,hot dog,14,0.03
bowl,cake,14,0.03
tv,microwave,14,0.03
dog,teddy bear,13,0.03
airplane,kite,13,0.03
bowl,orange,13,0.03
cat,dining table,13,0.03
handbag,suitcase,13,0.03
frisbee,sports ball,13,0.03
knife,fork,13,0.03
sheep,bear,12,0.03
cow,elephant,12,0.03
sheep,horse,12,0.03
bowl,apple,12,0.03
surfboard,snowboard,12,0.03
knife,scissors,12,0.03
elephant,cow,12,0.03
hot dog,pizza,12,0.03
surfboard,boat,11,0.02
sandwich,pizza,11,0.02
keyboard,laptop,11,0.02
toilet,chair,11,0.02
apple,orange,11,0.02
pizza,bowl,11,0.02
book,laptop,11,0.02
cell phone,laptop,11,0.02
cake,bowl,11,0.02
laptop,cell phone,10,0.02
cake,dining table,10,0.02
tennis racket,baseball bat,10,0.02
bowl,pizza,10,0.02
skateboard,snowboard,10,0.02
pizza,cake,10,0.02
horse,sheep,10,0.02
boat,truck,10,0.02
oven,bowl,10,0.02
bear,teddy bear,10,0.02
broccoli,bowl,10,0.02
boat,car,10,0.02
snowboard,kite,9,0.02
cat,chair,9,0.02
truck,boat,9,0.02
backpack,suitcase,9,0.02
vase,potted plant,9,0.02
kite,umbrella,9,0.02
keyboard,remote,9,0.02
chair,suitcase,9,0.02
bowl,carrot,9,0.02
cat,bench,9,0.02
sink,toilet,9,0.02
toilet,sink,9,0.02
fork,scissors,8,0.02
teddy bear,chair,8,0.02
banana,bowl,8,0.02
bed,dining table,8,0.02
truck,train,8,0.02
wine glass,vase,8,0.02
bed,chair,8,0.02
clock,tv,8,0.02
sandwich,bowl,8,0.02
sandwich,dining table,8,0.02
spoon,knife,8,0.02
dining table,cake,8,0.02
suitcase,handbag,8,0.02
dining table,sandwich,8,0.02
surfboard,kite,8,0.02
bench,couch,8,0.02
bicycle,motorcycle,7,0.01
cow,bird,7,0.01
chair,bed,7,0.01
car,motorcycle,7,0.01
cat,bear,7,0.01
teddy bear,dog,7,0.01
suitcase,chair,7,0.01
bird,sheep,7,0.01
couch,dining table,7,0.01
cat,sink,7,0.01
snowboard,surfboard,7,0.01
cat,sheep,7,0.01
vase,wine glass,6,0.01
train,airplane,6,0.01
surfboard,frisbee,6,0.01
bowl,donut,6,0.01
zebra,horse,6,0.01
surfboard,skateboard,6,0.01
dog,elephant,6,0.01
kite,bird,6,0.01
cat,bed,6,0.01
dog,bird,6,0.01
bear,cat,6,0.01
airplane,bird,6,0.01
cake,pizza,6,0.01
oven,refrigerator,6,0.01
knife,cell phone,6,0.01
bottle,bed,5,0.01
chair,bicycle,5,0.01
bear,elephant,5,0.01
scissors,knife,5,0.01
motorcycle,umbrella,5,0.01
bird,teddy bear,5,0.01
bowl,sink,5,0.01
cake,teddy bear,5,0.01
parking meter,fire hydrant,5,0.01
baseball bat,tennis racket,5,0.01
orange,bowl,5,0.01
tv,oven,5,0.01
skateboard,surfboard,5,0.01
potted plant,wine glass,5,0.01
bowl,frisbee,5,0.01
chair,bowl,5,0.01
remote,mouse,5,0.01
suitcase,laptop,5,0.01
refrigerator,book,5,0.01
bowl,book,5,0.01
bench,tv,5,0.01
sandwich,donut,5,0.01
hot dog,donut,5,0.01
potted plant,vase,5,0.01
pizza,banana,5,0.01
dog,vase,5,0.01
sports ball,clock,5,0.01
cell phone,clock,5,0.01
apple,clock,5,0.01
motorcycle,chair,5,0.01
elephant,horse,5,0.01
cup,chair,5,0.01
bed,suitcase,5,0.01
vase,orange,5,0.01
boat,suitcase,5,0.01
kite,surfboard,5,0.01
laptop,suitcase,5,0.01
dining table,carrot,5,0.01
banana,sandwich,5,0.01
bottle,refrigerator,4,0.01
suitcase,motorcycle,4,0.01
bowl,oven,4,0.01
refrigerator,parking meter,4,0.01
remote,keyboard,4,0.01
laptop,refrigerator,4,0.01
