Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
airplane,138,0,1,1,0,0,12,5,41,5,59,64,0,1,0,0,16,1,27,0,7,4,27,2,1,11,0,2,3,0,5,0,2,0,23,0,0,6,0,0,71,2,0,0,34,0,0,0,1,3,0,1,0,0,0,1,8,3,11,36,2,0,2,1,1,23,6,3,0,0,2,0,18,24,42,0,7,2,0,0,0
apple,0,157,0,21,0,0,0,0,0,1,0,0,0,3,37,4,0,8,0,2,0,0,0,1,0,0,7,4,0,15,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,72,0,0,2,1,1,0,0,10,0,0,0,0,0,0,1,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,0,0
backpack,0,0,255,2,0,27,0,6,8,8,4,3,0,3,2,0,0,1,21,0,1,0,64,0,7,6,1,3,5,0,2,1,0,0,0,0,246,3,0,0,14,0,0,0,25,2,0,0,1,102,0,0,0,0,0,2,1,0,4,1,0,0,1,0,99,8,1,6,9,0,0,1,0,0,0,0,15,0,0,0,0
banana,1,50,1,265,0,3,1,3,2,1,2,4,1,5,50,4,0,17,2,4,0,0,8,0,1,1,7,18,0,12,1,3,0,2,0,0,1,0,14,0,0,4,0,0,2,1,16,3,0,12,5,8,1,1,21,1,0,4,1,0,0,5,2,0,0,1,4,0,1,0,3,2,0,0,3,0,5,5,0,0,0
baseball bat,0,0,3,1,101,13,0,0,4,3,1,1,4,10,0,0,0,0,0,4,0,5,8,0,0,0,2,1,1,0,0,1,2,11,0,3,12,0,11,0,2,20,2,0,0,0,0,0,0,18,0,0,0,1,0,3,0,0,18,16,3,17,2,0,1,8,0,49,1,0,1,11,0,0,1,0,8,1,0,0,0
baseball glove,0,0,34,4,10,101,0,0,2,1,10,2,0,4,1,0,0,2,0,0,2,7,5,0,1,2,1,0,9,6,0,0,0,7,0,2,44,2,0,0,2,0,0,0,2,0,0,0,1,35,0,1,0,0,3,0,2,0,7,0,0,0,34,0,4,2,0,12,0,0,1,0,0,0,0,0,0,2,1,0,0
bear,3,1,1,3,1,0,68,9,23,1,33,16,0,2,0,1,6,1,6,1,36,0,9,0,8,52,0,6,56,1,39,9,0,1,16,0,1,35,0,0,2,0,3,0,1,0,2,0,4,13,4,1,0,0,2,0,56,2,1,0,0,0,3,2,0,3,39,0,0,0,12,0,0,5,4,1,4,1,0,4,0
bed,3,0,8,2,0,2,2,146,36,1,3,11,14,0,3,0,2,6,15,0,3,0,56,0,150,3,1,86,10,1,2,0,0,2,0,0,10,4,0,1,0,0,5,0,1,0,0,4,2,65,1,4,2,0,0,0,2,8,1,0,2,0,0,0,39,6,10,1,2,0,2,0,0,1,7,2,17,5,0,1,0
bench,7,0,5,1,0,0,2,52,276,42,0,29,4,0,0,0,13,0,33,0,2,1,207,0,13,3,0,144,3,0,3,1,2,0,2,0,11,4,0,1,4,0,8,1,17,1,0,12,1,15,0,10,0,0,0,1,2,2,10,5,3,0,0,0,26,17,1,0,1,0,0,0,1,1,31,6,5,0,0,4,0
bicycle,8,0,16,1,2,0,0,9,70,248,0,11,0,4,3,0,11,0,35,0,8,0,81,10,4,5,2,17,11,0,3,3,0,2,7,0,17,24,0,5,6,0,2,0,119,0,1,7,1,60,2,15,0,0,0,10,0,4,16,27,6,0,0,2,11,19,0,51,0,0,2,1,0,9,9,3,8,0,2,7,0
