Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
airplane,138,0,1,1,0,0,6,1,36,0,58,52,0,1,0,0,2,1,3,0,0,0,28,6,1,0,0,2,0,0,1,0,2,0,10,1,0,1,0,0,69,2,4,0,2,0,0,0,0,3,2,0,0,0,0,1,0,4,7,25,0,0,2,0,0,19,0,1,0,0,6,0,2,3,4,0,4,0,0,1,0
apple,0,157,0,16,0,0,0,0,0,1,0,0,0,3,24,4,0,8,0,10,0,0,0,1,0,0,7,3,0,15,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,71,0,0,3,1,1,0,0,10,0,0,0,0,0,0,1,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,0,0
backpack,0,0,255,1,0,10,0,7,4,7,2,2,0,3,2,0,0,1,20,0,1,0,64,0,5,6,1,3,5,0,1,1,0,0,0,0,221,4,0,0,7,0,0,0,25,2,0,0,1,73,0,0,0,0,0,2,1,0,4,0,0,1,0,0,85,8,1,2,3,0,0,1,0,0,0,0,4,0,0,0,0
banana,0,24,1,264,0,3,0,2,2,1,2,4,1,5,31,3,0,11,2,2,1,0,3,0,1,0,7,8,1,12,1,3,0,2,2,0,1,1,14,0,0,0,0,0,1,1,8,3,0,13,1,7,1,1,20,1,0,4,0,0,0,1,2,0,0,1,5,0,1,0,3,2,0,1,3,0,4,5,0,0,0
baseball bat,0,0,3,1,101,4,0,1,4,2,1,1,3,10,0,0,0,0,0,4,0,1,7,0,0,0,2,0,0,0,0,2,2,1,0,3,9,0,10,0,1,20,2,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,11,7,2,17,1,0,1,6,0,48,1,0,1,11,0,0,1,0,1,1,0,0,0
baseball glove,0,0,16,4,5,100,0,0,0,1,3,1,0,4,2,0,0,2,0,0,2,0,5,0,0,1,1,0,0,6,0,0,0,2,0,2,18,2,0,0,1,0,0,0,2,0,0,0,1,12,0,1,0,0,3,0,2,0,3,0,0,0,5,0,0,2,0,6,0,0,1,0,0,0,0,0,0,2,1,0,0
bear,1,2,1,3,0,0,67,8,1,0,4,0,0,2,2,0,2,1,3,1,29,0,12,0,3,45,0,6,28,0,12,2,0,1,3,0,1,25,0,1,1,0,3,0,0,0,2,2,1,4,3,1,2,0,0,0,54,3,0,0,0,0,2,1,0,1,34,0,0,0,12,0,0,0,1,1,2,1,0,0,0
bed,1,0,6,1,0,1,1,146,34,1,3,8,8,0,3,0,2,5,8,0,2,0,88,0,148,2,1,83,8,1,2,0,0,0,0,1,8,3,0,1,0,0,4,0,1,0,0,4,0,64,0,4,3,0,0,0,2,10,1,0,1,0,0,0,26,1,7,1,0,0,2,0,0,0,4,3,10,3,0,0,0
bench,6,0,5,1,0,0,0,60,276,39,0,10,2,0,0,0,11,1,29,0,2,1,206,0,14,2,0,137,0,0,1,1,1,0,1,0,8,3,0,3,3,0,8,1,15,1,0,12,1,15,0,9,2,0,0,1,2,4,5,2,1,0,0,0,12,4,0,0,0,1,0,0,1,8,28,7,5,0,0,0,0
bicycle,1,0,11,1,2,0,0,1,68,248,0,9,0,4,3,0,1,0,13,0,1,0,81,8,1,0,2,17,7,0,0,0,0,1,4,0,14,3,0,5,0,0,3,0,118,0,2,8,1,58,2,3,0,0,0,0,0,4,12,17,3,0,0,0,7,13,0,49,0,1,3,1,0,1,2,3,7,0,2,2,0
