Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
airplane,138,0,1,1,0,0,0,5,40,0,7,5,0,0,0,0,2,1,3,0,5,2,23,12,1,12,0,2,1,0,5,0,0,0,0,0,0,1,0,0,71,2,4,0,34,0,0,0,0,2,2,1,0,0,0,32,4,3,7,36,2,0,1,1,1,23,6,6,0,0,0,0,2,25,4,0,3,1,0,5,0
apple,0,156,0,15,0,0,0,0,0,1,0,0,0,3,37,4,0,19,0,10,0,0,0,1,0,0,7,4,0,15,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,99,0,0,3,1,1,0,0,9,0,0,0,0,0,0,1,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,0,0
backpack,0,0,256,2,0,27,0,5,8,5,2,2,0,3,2,0,0,1,12,0,1,1,64,0,7,6,0,3,9,0,2,1,0,0,0,0,225,1,0,0,12,0,0,0,17,2,0,0,1,73,0,0,0,0,0,2,1,0,4,1,0,1,1,0,111,13,1,6,3,0,0,1,0,0,0,0,5,0,0,0,0
banana,0,25,1,265,0,3,1,3,2,1,2,4,1,5,51,4,0,19,2,4,0,0,7,0,0,1,7,18,1,12,1,3,0,2,2,0,1,0,7,0,0,3,0,0,2,1,18,3,0,13,1,8,1,1,21,0,0,0,0,0,0,4,3,0,0,0,5,0,1,0,3,1,0,1,2,0,4,5,0,0,0
baseball bat,0,0,3,1,102,13,0,0,4,2,1,1,3,10,0,0,0,0,0,3,0,4,7,0,0,0,2,1,0,0,0,2,2,11,0,3,12,0,8,0,3,20,1,0,0,0,0,0,0,18,0,0,0,1,0,2,0,0,18,15,3,17,2,0,1,6,0,70,1,0,1,2,0,0,1,0,8,1,0,0,0
baseball glove,0,0,34,4,10,101,0,0,0,0,9,2,0,3,1,0,0,0,0,0,2,7,2,0,1,1,1,0,1,0,0,0,0,7,0,1,44,2,0,0,1,0,0,0,2,0,0,0,1,34,0,1,0,0,3,0,0,0,5,0,0,0,33,0,8,2,0,12,0,0,1,0,0,0,0,0,0,2,0,4,0
bear,0,2,1,3,1,0,67,6,17,0,6,1,0,1,0,0,0,0,0,1,32,0,4,0,10,51,0,6,56,0,37,6,0,4,3,0,1,11,1,1,1,0,1,0,0,0,1,1,0,5,3,2,2,0,0,0,51,3,0,0,0,0,2,2,1,4,39,0,0,0,0,0,0,4,1,1,2,1,0,0,0
bed,2,0,7,1,0,1,2,146,31,0,3,8,11,0,2,0,1,4,10,0,3,0,54,1,155,3,1,85,9,1,3,0,0,2,0,0,9,2,0,1,0,0,4,0,1,0,0,4,1,67,0,5,3,0,0,0,2,5,1,0,2,0,0,0,37,5,11,1,0,0,2,0,0,2,5,1,13,2,0,1,0
bench,6,0,5,1,0,0,1,10,278,34,0,29,3,0,0,0,11,0,29,0,2,1,147,0,66,4,0,145,0,0,2,1,0,0,1,0,11,3,0,2,3,0,9,1,16,1,0,11,0,42,0,10,2,0,0,1,1,4,5,5,3,0,0,0,25,18,1,0,0,1,1,0,1,11,29,5,6,0,0,4,0
bicycle,1,0,8,1,2,0,0,7,72,248,0,1,0,3,3,0,1,0,12,0,5,0,81,10,5,3,2,17,10,0,3,1,0,2,0,0,10,3,0,5,1,0,1,0,192,0,2,7,1,26,2,15,0,0,0,11,0,4,14,21,2,0,0,0,8,19,0,52,0,0,0,0,0,8,2,2,1,4,1,5,0
bird,8,3,4,8,0,5,6,0,12,0,259,9,0,8,2,1,0,0,0,0,37,1,13,0,0,40,0,1,55,0,15,0,1,0,2,0,3,4,1,0,62,0,0,0,0,0,2,0,1,41,0,8,0,0,0,2,60,0,2,3,1,2,4,0,0,15,11,1,0,0,0,0,0,0,0,0,5,9,1,13,0
boat,26,1,1,3,0,0,0,6,26,4,5,334,5,0,12,0,15,4,36,0,0,3,20,1,1,1,0,6,1,0,0,2,0,3,0,0,0,1,1,1,14,1,2,0,3,1,0,1,1,8,0,3,0,0,0,0,1,3,1,2,2,0,1,0,11,36,0,1,0,1,1,0,1,30,42,3,6,3,0,0,0
book,0,1,4,0,3,1,0,11,17,0,0,3,656,27,15,0,0,9,6,0,1,27,41,12,8,0,22,33,1,0,0,0,0,2,0,0,24,0,0,28,0,17,75,5,1,0,0,4,1,15,0,3,7,37,0,2,0,5,2,1,0,2,0,1,23,4,1,2,10,0,1,6,1,1,1,20,1,9,0,0,0
bottle,0,1,5,11,1,2,0,1,0,1,12,4,33,756,40,0,4,7,5,1,0,24,19,9,3,0,336,10,2,0,0,6,10,6,1,13,17,0,2,0,2,38,1,2,3,8,0,1,6,78,0,19,9,21,1,3,0,3,8,0,1,25,2,0,8,1,3,3,4,1,1,82,4,1,1,0,3,349,158,0,0
