Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
airplane,138,0,1,0,0,0,0,1,1,0,7,5,0,0,0,0,2,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,2,3,4,0,2,0,0,0,0
apple,0,157,0,15,0,0,0,0,0,1,0,0,0,2,24,4,0,8,0,2,0,0,0,1,0,0,6,2,0,10,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,71,0,0,1,1,1,0,0,5,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0
backpack,0,0,254,1,0,10,0,3,4,5,2,2,0,2,1,0,0,0,11,0,0,0,36,0,5,2,0,2,4,0,1,0,0,0,0,0,221,1,0,0,7,0,0,0,11,2,0,0,1,72,0,0,0,0,0,1,0,0,4,0,0,0,0,0,85,7,0,2,3,0,0,1,0,0,0,0,4,0,0,0,0
banana,0,23,1,265,0,2,0,0,1,0,1,1,1,3,31,2,0,10,0,0,0,0,3,0,0,0,4,8,1,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,8,1,0,6,1,2,1,1,12,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,1,0,0,1,0,2,2,0,0,0
baseball bat,0,0,3,1,101,4,0,0,3,1,1,1,3,6,0,0,0,0,0,3,0,1,3,0,0,0,1,0,0,0,0,1,1,1,0,0,9,0,8,0,1,2,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,11,8,1,3,1,0,1,6,0,48,1,0,1,2,0,0,1,0,1,0,0,0,0
baseball glove,0,0,16,2,5,100,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,18,0,0,0,1,0,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0
bear,0,0,1,0,0,0,64,3,1,0,3,0,0,0,0,0,0,0,0,0,8,0,1,0,3,19,0,0,26,0,9,1,0,1,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0
bed,1,0,4,0,0,1,1,145,24,0,3,10,4,0,1,0,1,3,7,0,2,0,46,0,119,1,1,42,10,1,2,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,49,0,3,1,0,0,0,2,1,1,0,1,0,0,0,10,0,2,1,0,0,1,0,0,0,3,0,7,2,0,0,0
bench,1,0,3,1,0,0,0,10,274,16,0,8,2,0,0,0,4,0,21,0,0,1,146,0,10,1,0,60,1,0,0,1,0,0,0,0,6,1,0,1,3,0,4,0,8,1,0,3,0,14,0,3,0,0,0,0,1,2,5,2,1,0,0,0,8,4,0,0,0,0,0,0,0,0,11,1,4,0,0,0,0
bicycle,1,0,8,0,1,0,0,1,25,248,0,0,0,1,0,0,1,0,12,0,1,0,34,3,1,0,2,0,1,0,0,0,0,1,0,0,10,2,0,0,0,0,0,0,112,0,0,0,1,25,0,3,0,0,0,0,0,0,3,3,0,0,0,0,2,4,0,13,0,0,0,0,0,1,2,0,1,0,1,0,0
bird,7,3,4,3,0,3,4,0,2,0,259,9,0,1,2,0,0,0,0,0,4,1,3,0,0,9,0,0,10,0,5,0,0,0,1,0,3,3,0,0,20,0,0,0,0,0,0,0,1,41,0,4,0,0,0,0,21,0,0,0,0,1,3,0,0,8,2,0,0,0,0,0,0,0,0,0,4,3,0,2,0
boat,26,0,0,2,0,0,0,6,15,3,5,333,4,0,6,0,15,1,36,0,0,2,12,1,1,1,0,4,1,0,0,1,0,0,0,0,0,1,0,0,6,0,2,0,3,0,0,0,0,7,0,0,0,0,0,0,1,2,1,0,1,0,1,0,6,17,0,0,0,1,1,0,0,17,39,1,6,2,0,0,0
book,0,1,2,0,1,1,0,9,10,0,0,1,654,25,10,0,0,3,0,0,1,26,28,6,5,0,18,26,1,0,0,0,0,2,0,0,13,0,0,17,0,13,50,2,1,0,0,3,1,14,0,3,3,17,0,1,0,4,1,1,0,2,0,1,20,2,1,1,6,0,0,2,0,1,1,11,1,5,0,0,0
bottle,0,1,2,2,0,1,0,1,0,1,6,0,28,749,23,0,3,3,3,0,0,19,6,5,0,0,217,5,0,0,0,6,5,5,1,10,10,0,0,0,1,22,1,2,2,4,0,1,1,51,0,10,5,15,1,3,0,1,4,0,1,15,2,0,6,0,2,3,2,1,1,25,3,1,1,0,3,150,71,0,0
bowl,1,27,2,12,0,2,0,2,1,1,3,5,22,16,530,15,1,97,3,12,1,9,40,4,2,1,229,87,1,24,0,0,10,9,0,0,6,0,8,0,2,11,6,1,0,8,22,11,0,12,42,26,0,10,40,1,1,33,1,0,0,41,8,0,2,1,0,0,0,0,17,0,0,0,1,0,2,42,22,0,0
broccoli,0,0,0,2,0,0,0,0,0,0,1,0,0,0,12,238,0,2,0,6,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bus,6,0,1,1,0,0,0,0,2,1,0,31,0,1,0,0,253,0,97,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,112,199,3,2,0,0,0,0
cake,0,9,1,5,0,1,0,3,2,0,0,3,11,17,75,0,0,250,1,2,0,3,8,0,3,0,33,33,0,66,0,3,8,0,0,0,7,0,12,0,0,7,2,3,0,0,1,2,0,10,26,10,3,1,80,0,0,2,0,0,0,5,2,0,7,0,5,0,0,5,9,0,0,1,0,1,1,13,3,0,0
car,19,0,15,0,0,0,0,5,32,18,7,34,3,6,3,0,94,1,1512,0,2,3,40,1,6,10,0,7,3,0,0,0,0,0,0,0,10,1,0,0,3,0,5,0,68,1,0,6,3,67,0,1,0,0,0,0,6,4,1,0,2,0,0,1,29,3,0,0,0,0,2,0,1,10,956,4,7,0,1,0,0
carrot,0,9,0,4,0,0,0,0,0,0,0,0,0,1,14,16,0,4,0,246,0,0,1,0,0,0,0,11,0,6,0,0,3,0,0,0,0,0,27,0,0,3,0,0,0,0,40,0,0,2,3,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0
cat,0,0,5,0,0,0,13,27,8,2,11,0,2,3,3,0,0,0,6,0,188,0,38,0,27,8,3,11,86,1,2,0,0,0,0,2,5,2,0,1,0,0,29,2,2,0,0,3,0,36,0,6,5,0,0,0,6,14,0,0,0,0,0,0,4,0,9,0,1,0,11,0,0,0,0,6,1,5,0,1,0
cell phone,0,0,3,0,0,0,0,0,0,1,0,1,27,5,2,0,0,1,1,0,0,172,5,4,0,0,4,5,0,0,0,0,2,0,0,1,12,0,0,5,0,16,21,2,1,6,0,3,3,12,1,0,1,66,1,4,0,0,1,1,3,3,0,0,7,1,0,1,1,0,2,6,2,0,0,6,0,1,2,0,0
chair,2,0,41,1,5,0,0,56,374,26,2,21,33,9,35,0,0,3,35,0,1,4,1321,2,236,3,28,322,3,0,1,2,4,4,3,1,68,13,0,0,3,9,23,2,15,1,0,11,2,175,0,12,5,2,0,4,2,17,3,2,2,5,0,0,65,6,3,8,1,1,11,0,2,1,10,18,29,13,1,1,0
clock,0,0,0,0,0,0,0,0,0,1,0,0,4,4,5,0,0,1,1,0,0,4,0,220,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,3,0,0,1,2,0,1,0,1,0,0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,0,7,0,3,0,0,0
couch,1,0,6,0,0,0,0,111,44,1,0,2,5,0,3,0,0,0,2,0,2,1,258,0,217,0,1,31,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,1,0,0,3,0,41,0,2,0,1,0,0,0,5,0,0,0,0,0,0,20,0,3,0,0,0,4,0,0,0,0,3,1,1,0,0,0
cow,0,0,5,0,0,2,17,2,5,0,32,0,1,0,0,0,1,0,5,0,8,0,8,0,3,323,0,1,62,0,61,0,0,0,6,0,1,185,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,171,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,10,0
cup,0,0,2,0,0,1,0,0,0,1,1,0,26,249,252,0,0,24,4,0,3,8,40,13,1,0,682,5,2,4,0,1,1,0,0,1,10,0,1,0,0,1,5,1,1,5,1,0,0,12,2,8,2,9,1,1,0,3,0,0,0,15,1,0,5,0,0,0,0,0,11,4,3,0,0,2,0,106,216,0,0
dining table,3,1,0,2,0,0,0,27,95,4,0,10,22,1,71,0,0,25,4,0,0,1,140,0,38,1,3,538,1,2,0,0,1,2,0,0,4,1,1,1,1,3,3,1,1,0,0,28,0,25,10,3,2,0,7,0,1,15,0,0,0,3,1,0,4,6,0,0,0,0,3,0,0,2,2,1,9,3,2,1,0
dog,1,0,6,0,0,0,30,17,7,1,25,2,1,1,1,0,1,1,4,0,72,0,18,0,27,56,1,2,199,0,11,1,0,0,5,0,3,38,0,0,1,1,1,0,2,0,0,1,0,67,0,1,0,1,0,0,51,0,4,0,0,0,0,0,6,2,28,0,1,0,0,0,1,0,5,0,1,1,0,2,0
donut,0,15,0,14,0,1,2,2,0,0,1,0,0,1,14,0,0,97,0,9,4,0,3,0,0,0,6,10,5,245,1,0,1,0,0,0,0,1,52,0,0,0,0,0,0,1,20,4,0,4,9,0,1,2,58,0,0,0,0,0,0,2,3,0,1,0,9,0,0,0,0,0,0,0,1,0,0,2,0,0,0
elephant,1,0,2,0,0,0,10,1,2,0,8,2,1,0,0,0,0,0,1,0,2,0,5,0,2,50,0,0,12,0,242,0,0,0,2,0,1,23,0,0,1,0,1,0,1,0,0,0,0,17,0,1,0,0,0,0,47,0,1,0,1,0,0,0,2,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
fire hydrant,0,0,0,0,0,0,1,0,2,1,1,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,5,0,2,0,1,91,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,3,0,0,0
fork,0,3,0,0,1,0,0,0,0,0,5,0,3,1,12,2,0,2,0,0,0,4,1,0,0,0,3,4,0,0,0,0,154,0,0,0,0,0,2,0,1,144,0,0,0,0,0,0,0,0,3,0,0,2,3,13,0,1,0,2,0,142,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,3,0,0
