Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
airplane,138,0,1,2,0,0,9,6,46,0,59,5,0,1,0,0,2,1,3,0,3,4,28,12,1,8,0,2,0,0,2,2,2,0,16,0,0,2,0,0,70,2,4,0,2,0,0,0,1,5,3,1,0,0,0,32,3,4,7,29,0,0,2,1,1,22,6,2,0,0,6,0,23,3,4,0,7,1,0,4,0
apple,0,157,0,12,0,0,0,0,0,1,0,0,0,3,37,4,0,8,0,2,0,0,0,1,0,0,7,4,0,10,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,71,0,0,3,1,1,0,0,5,0,0,0,0,0,0,1,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,0,0
backpack,0,0,255,2,0,27,0,5,9,7,4,3,0,3,2,0,0,1,19,0,1,1,64,0,7,6,1,3,8,0,2,1,0,0,0,0,232,6,0,0,14,0,0,0,25,2,0,0,1,102,0,0,0,0,0,2,1,0,4,1,0,1,1,0,87,13,1,5,3,0,0,1,0,0,0,0,5,0,0,0,0
banana,1,24,1,264,0,3,1,2,2,1,2,4,1,5,50,2,0,10,3,0,0,0,7,0,1,1,4,18,1,7,1,3,0,2,2,0,1,0,7,0,0,3,0,0,2,1,8,3,0,13,1,7,1,1,13,1,0,4,1,0,0,4,3,0,0,1,5,0,1,0,3,2,1,1,3,0,4,5,0,0,0
baseball bat,0,0,3,1,101,4,0,0,4,3,1,1,3,10,0,0,0,0,0,4,0,5,8,0,0,0,2,0,1,0,0,2,2,1,0,3,12,0,11,0,1,20,2,0,0,0,0,0,0,18,0,0,0,1,0,3,0,0,11,7,2,17,1,0,1,6,0,49,1,0,1,11,0,0,1,0,8,1,0,0,0
baseball glove,0,0,35,4,5,101,0,0,2,1,11,2,0,4,2,0,0,2,0,0,1,9,5,0,1,1,1,0,10,6,0,0,0,2,0,2,44,2,0,0,1,0,0,0,2,0,0,0,1,35,0,1,0,0,3,0,2,0,3,0,0,0,5,0,3,2,0,6,0,0,1,0,0,0,0,0,0,2,1,4,0
bear,2,2,3,3,1,0,64,10,23,1,3,17,0,2,2,1,6,1,8,1,8,1,10,0,10,20,1,4,26,1,9,9,0,5,2,0,1,9,1,1,2,0,3,0,0,0,2,2,2,17,4,2,2,0,2,0,26,3,0,0,0,0,3,3,4,4,39,0,0,0,12,0,0,5,10,1,7,1,0,0,0
bed,3,0,8,2,0,2,2,147,54,1,3,13,12,0,4,0,3,8,13,0,4,1,50,0,123,3,1,40,14,1,3,0,0,2,0,1,10,3,0,1,1,0,4,0,1,0,0,4,1,68,1,4,3,0,0,0,3,10,1,0,2,0,0,0,38,6,11,1,1,0,2,0,0,1,6,3,17,5,0,0,0
bench,7,0,6,1,0,0,1,47,277,39,0,36,4,0,0,0,11,1,32,0,2,1,202,0,57,4,0,135,4,0,2,0,2,0,1,0,11,4,0,3,4,0,8,1,16,1,0,12,1,42,0,8,2,0,0,1,2,4,10,5,2,0,0,0,27,17,1,0,1,1,0,0,1,10,31,7,6,0,0,4,0
bicycle,1,0,16,1,2,0,0,9,73,248,1,1,0,4,4,0,1,1,13,0,8,0,81,10,5,5,3,17,11,0,4,2,0,2,6,0,16,23,0,5,6,0,3,0,118,0,3,7,1,58,4,15,0,0,0,10,2,4,16,25,6,0,0,1,11,18,0,51,0,1,3,0,0,1,2,3,9,6,2,9,0
bird,33,3,8,8,0,5,4,0,14,1,260,20,0,9,3,1,0,0,0,0,4,1,21,0,0,10,0,1,12,0,5,0,2,0,1,0,6,3,1,0,63,0,0,0,0,0,1,0,1,95,0,8,0,0,0,2,22,0,2,1,0,2,4,0,0,15,11,0,1,0,0,0,1,0,0,0,10,11,1,2,0
boat,25,1,1,3,0,0,0,7,27,4,8,334,5,0,12,0,16,4,35,0,0,4,21,1,1,1,0,7,1,0,0,3,0,2,0,0,0,1,1,1,14,1,2,0,2,1,0,1,1,14,0,2,0,0,0,0,1,3,2,0,1,0,1,0,11,36,0,1,0,1,4,0,1,17,41,3,25,3,0,0,0
book,0,1,4,0,3,1,0,11,18,0,0,3,656,49,13,0,0,9,6,0,1,35,41,7,8,0,21,31,3,0,0,0,0,5,0,0,25,0,0,26,0,16,74,5,2,0,0,5,1,15,0,3,8,35,1,2,0,5,2,3,0,2,0,2,34,4,1,2,10,0,1,2,1,1,1,19,2,6,0,0,0
bottle,0,1,5,11,2,2,0,1,1,1,12,5,44,753,25,0,6,9,6,1,1,30,22,7,1,0,226,10,2,1,0,23,5,7,1,13,17,0,2,0,1,23,1,2,3,7,0,1,8,87,0,18,9,19,2,3,0,3,8,0,1,16,4,0,7,0,2,2,7,1,1,73,4,1,2,0,3,348,75,0,0
bowl,1,50,6,15,0,2,1,4,5,4,6,25,34,20,535,27,1,187,7,22,1,15,66,18,2,1,237,129,2,38,0,1,10,17,0,3,15,0,12,3,2,13,12,2,2,16,36,31,1,25,71,74,0,17,73,1,1,98,3,0,0,44,11,1,5,4,1,0,1,0,25,0,1,0,2,0,6,98,24,0,0
