Year,category_type,satisfaction_index,City
2005,"How would you rate Kansas City, Missouri, as a place to live (Good/Excellent)",69.0,Kansas City
2005,"How would you rate Kansas City, Missouri, as a place to raise children (Good/Excellent)",51.0,Kansas City
2005,"How would you rate Kansas City, Missouri, as a place to work (Good/Excellent)",63.0,Kansas City
2005,"Overall quality of services provided by the City of Kansas City, Missouri",41.0,Kansas City
2005,Overall value that you receive for your city tax dollars and fees,25.0,Kansas City
2005,Overall image of the city,37.0,Kansas City
2005,Overall quality of life in the city,51.0,Kansas City
2005,Overall feeling of safety in the city,30.0,Kansas City
2005,How safe you feel in your neighborhood,0.0,Kansas City
2005,Overall quality of education system within the City,0.0,Kansas City
2005,Physical Appearance of Your Neighborhood,0.0,Kansas City
2005,Overall quality of police services,0.0,Kansas City
2005,Overall quality of fire and ambulance services,0.0,Kansas City
2005,"Overall maintenance of city streets, sidewalks, and infrastructure",0.0,Kansas City
2005,Overall quality of solid waste services (e.g. residential trash and recycling collection),0.0,Kansas City
2005,Overall quality of city water utilities,55.0,Kansas City
2005,"Overall quality of neighborhood services (e.g. code enforcement, property preservation, animal control)",0.0,Kansas City
2005,Overall quality of city parks and recreation programs and facilities,51.0,Kansas City
2005,Overall quality of Health Department services,0.0,Kansas City
2005,Overall quality of airport facilities,72.0,Kansas City
2005,Overall quality of the city's 311 service,0.0,Kansas City
2005,The city's municipal court,34.0,Kansas City
2005,Overall quality of customer service you receive from city employees,39.0,Kansas City
2005,Overall effectiveness of city communication with the public,31.0,Kansas City
2005,Overall quality of the city's stormwater runoff/stormwater management system,32.0,Kansas City
2005,Overall quality of public transportation,0.0,Kansas City
2005,Effectiveness of local police protection,0.0,Kansas City
2005,The visibility of police in neighborhoods,39.0,Kansas City
2005,The city's overall efforts to prevent crime,31.0,Kansas City
2005,Enforcement of local traffic laws,47.0,Kansas City
2005,Parking enforcement services,0.0,Kansas City
2005,How quickly police respond to emergencies,0.0,Kansas City
2005,Overall quality of local fire protection and rescue services,79.0,Kansas City
2005,How quickly fire and rescue personnel respond to emergencies,0.0,Kansas City
2005,Quality of local emergency medical service,67.0,Kansas City
2005,How quickly emergency medical personnel respond to emergencies,0.0,Kansas City
2005,Maintenance of city streets,21.0,Kansas City
2005,Maintenance of streets in your neighborhood,35.0,Kansas City
2005,Condition of sidewalks in the city,19.0,Kansas City
2005,Condition of sidewalks in your neighborhood,0.0,Kansas City
2005,Maintenance of street signs and traffic signals,0.0,Kansas City
2005,Snow removal on major city streets during the past 12 months,55.0,Kansas City
2005,Snow removal on residential streets during the past 12 months,37.0,Kansas City
2005,Adequacy of city street lighting,60.0,Kansas City
