Ground_Truth,Prediction,Occurences
Aeroplane,Cow,0.65
Aeroplane,Diningtable,0.73
Aeroplane,sheep,0.62
Bicycle,Bottle,0.76
Bicycle,Bus,0.88
Bicycle,Cow,0.95
Bicycle,Diningtable,0.65
Bicycle,person,0.66
Bird,Boat,0.86
Bird,Car,0.78
Bird,dog,0.62
Bird,horse,0.76
Bird,tvmonitor,0.79
Boat,Bird,0.86
Boat,Car,0.88
Boat,Cat,0.93
Boat,Chair,0.66
Boat,dog,0.82
Boat,horse,0.77
Boat,motorbike,0.84
Boat,person,0.66
Boat,pottedplant,0.98
Boat,sofa,0.69
Boat,train,0.98
Boat,tvmonitor,0.79
Bottle,Bus,0.78
Bottle,Cow,0.81
Bottle,horse,0.72
Bottle,person,0.83
Bottle,sofa,0.62
Bus,Bicycle,0.9
Bus,Bottle,0.86
Bus,Cow,0.91
Bus,Diningtable,0.64
Bus,horse,0.66
Bus,person,0.75
Car,Bird,0.83
Car,Boat,0.88
Car,horse,0.73
Car,pottedplant,0.64
Car,tvmonitor,0.73
Cat,Boat,0.93
Cat,pottedplant,0.73
Cat,train,0.78
Chair,Boat,0.65
Chair,Bottle,0.74
Chair,Cow,0.68
Chair,horse,0.84
Chair,person,0.99
Chair,sofa,0.91
Chair,tvmonitor,0.71
Cow,Bicycle,0.9
Cow,Bottle,0.77
Cow,Bus,0.85
Cow,Diningtable,0.75
Cow,horse,0.61
Cow,person,0.68
Cow,sheep,0.68
Diningtable,Aeroplane,0.8
Diningtable,Bicycle,0.69
Diningtable,Bottle,0.62
Diningtable,Bus,0.64
Diningtable,Cow,0.83
Diningtable,sheep,0.96
dog,Bird,0.7
dog,Boat,0.82
dog,horse,0.84
dog,tvmonitor,0.9
horse,Bird,0.77
horse,Boat,0.77
horse,Bottle,0.72
horse,Bus,0.65
horse,Car,0.73
horse,Chair,0.83
horse,Cow,0.65
horse,dog,0.84
horse,person,0.85
horse,sofa,0.89
horse,tvmonitor,0.92
motorbike,Boat,0.84
person,Boat,0.66
person,Bottle,0.8
person,Bus,0.69
person,Chair,0.98
person,Cow,0.72
person,horse,0.85
person,sofa,0.93
person,tvmonitor,0.74
pottedplant,Boat,0.98
pottedplant,train,0.88
sheep,Aeroplane,0.77
sheep,Cow,0.78
sheep,Diningtable,0.96
sofa,Boat,0.68
sofa,Bottle,0.72
sofa,Chair,0.9
sofa,Cow,0.66
sofa,horse,0.89
sofa,person,0.93
sofa,tvmonitor,0.77
train,Boat,0.98
train,Cat,0.73
train,pottedplant,0.9
tvmonitor,Boat,0.78
tvmonitor,dog,0.74
tvmonitor,horse,0.9
tvmonitor,person,0.62
tvmonitor,sofa,0.64
