Ground_Truth,Prediction,Occurences
aeroplane,person,3
aeroplane,pottedplant,1
aeroplane,train,1
bicycle,chair,2
bicycle,motorbike,1
bicycle,person,2
bicycle,pottedplant,2
bicycle,train,1
bicycle,tvmonitor,1
bird,chair,2
bird,horse,1
bird,pottedplant,1
bird,sheep,1
boat,bird,1
boat,person,1
bottle,diningtable,2
bottle,pottedplant,1
bus,car,1
bus,person,5
bus,pottedplant,1
car,aeroplane,1
car,bus,1
car,horse,1
car,motorbike,1
car,person,5
car,pottedplant,3
car,tvmonitor,3
cat,bottle,1
cat,car,1
cat,diningtable,1
cat,dog,1
cat,sofa,1
chair,bicycle,2
chair,boat,1
chair,diningtable,1
chair,person,2
chair,pottedplant,7
chair,sofa,4
chair,tvmonitor,2
cow,horse,2
cow,person,1
cow,sheep,1
diningtable,bicycle,1
diningtable,boat,1
diningtable,dog,1
diningtable,person,1
diningtable,pottedplant,4
dog,bicycle,1
dog,bird,1
dog,bottle,1
dog,car,1
dog,cat,1
dog,chair,1
dog,cow,1
dog,horse,1
dog,person,1
dog,pottedplant,2
dog,sheep,1
dog,sofa,2
horse,cow,2
horse,dog,1
motorbike,chair,1
motorbike,person,3
motorbike,tvmonitor,1
person,aeroplane,1
person,bird,1
person,bottle,3
person,car,2
person,cat,1
person,chair,7
person,cow,1
person,diningtable,2
person,dog,2
person,motorbike,3
person,pottedplant,11
person,sheep,2
person,sofa,2
person,tvmonitor,2
pottedplant,chair,2
pottedplant,diningtable,1
pottedplant,dog,1
pottedplant,person,4
sofa,bicycle,1
sofa,chair,2
sofa,dog,2
sofa,person,2
sofa,pottedplant,3
sofa,tvmonitor,1
train,bird,1
train,car,1
train,chair,1
train,pottedplant,1
tvmonitor,bicycle,1
tvmonitor,chair,2
tvmonitor,dog,1
tvmonitor,person,1
tvmonitor,pottedplant,2
tvmonitor,sofa,2
