image_id,class_name,bboxes,scores
000000397133.jpg,"['person', 'person', 'bowl', 'sink', 'spoon', 'bowl', 'spoon', 'spoon', 'spoon', 'spoon', 'bowl', 'spoon', 'potted plant']","[[387.29312, 71.41333, 497.6046, 352.775], [0.80237556, 262.10507, 62.028893, 303.34024], [154.74403, 168.30374, 183.2877, 185.34686], [499.57867, 205.1021, 598.7415, 227.09366], [511.14285, 43.48317, 522.1652, 91.701256], [31.317057, 344.3117, 98.03473, 384.827], [520.67914, 45.06792, 532.24536, 111.8566], [530.98, 41.56343, 555.3996, 125.517204], [90.66553, 8.644061, 140.45673, 98.0017], [553.2236, 45.32801, 565.70416, 110.29911], [58.369095, 287.64868, 134.9706, 325.13712], [134.92442, 250.04536, 152.948, 273.1637], [0.058848273, 3.133338, 60.12722, 150.9408]]","[0.959, 0.808, 0.841, 0.812, 0.929, 0.959, 0.937, 0.824, 0.858, 0.927, 0.867, 0.955, 0.935]"
000000037777.jpg,"['refrigerator', 'oven', 'banana', 'dining table', 'orange', 'orange', 'orange', 'orange', 'orange', 'orange']","[[291.80066, 75.490685, 351.03793, 229.73334], [137.49945, 126.46409, 196.7451, 192.7782], [233.90906, 187.47566, 257.37195, 206.03433], [90.17479, 183.44794, 288.735, 227.41142], [215.53354, 186.71175, 232.50188, 201.22008], [229.19499, 178.4572, 242.39914, 189.13576], [204.38898, 187.5526, 220.30571, 207.77249], [231.43636, 200.67976, 247.868, 217.5513], [217.16891, 200.35039, 231.50008, 214.55605], [204.03755, 181.59305, 255.1625, 215.48431]]","[0.933, 0.94, 0.84, 0.828, 0.81, 0.808, 0.844, 0.95, 0.839, 0.853]"
000000252219.jpg,"['person', 'person', 'person', 'traffic light', 'umbrella']","[[4.2790093, 164.60077, 133.3121, 397.51532], [327.23254, 173.5897, 395.76678, 370.06714], [507.992, 166.30853, 633.0244, 388.5736], [338.14145, 42.99192, 398.4925, 103.90346], [562.7081, 91.21606, 639.3088, 156.369]]","[0.986, 0.866, 0.982, 0.82, 0.929]"
000000087038.jpg,"['person', 'bicycle', 'person', 'person', 'person', 'skateboard', 'person', 'person', 'person', 'person', 'skateboard', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[347.99158, 173.61899, 420.09598, 353.7978], [254.5766, 268.7428, 309.66907, 330.60242], [257.6805, 223.19942, 304.58243, 321.91522], [67.95351, 238.07079, 83.92785, 280.8215], [97.47461, 234.84615, 117.1065, 281.75812], [301.11945, 313.07455, 364.55533, 361.7812], [80.01056, 234.53783, 103.751564, 281.89136], [205.27454, 228.902, 218.80244, 264.17877], [185.56757, 230.11119, 196.69235, 264.7632], [0.0, 195.58624, 19.33223, 292.04333], [1.5639315, 288.44492, 13.462964, 297.7866], [327.18854, 224.36186, 340.4516, 259.51547], [418.9596, 227.68939, 433.51825, 266.0077], [310.41095, 222.58308, 324.8626, 263.29477], [196.13884, 228.1902, 205.96819, 262.70596], [227.04857, 230.11563, 237.08421, 259.06894], [625.95685, 221.19414, 640.0, 270.90683], [239.22075, 228.03824, 250.93008, 258.83856]]","[0.873, 0.973, 0.899, 0.877, 0.919, 0.819, 0.832, 0.91, 0.85, 0.977, 0.894, 0.983, 0.997, 0.878, 0.867, 0.913, 0.996, 0.954]"
000000174482.jpg,"['bicycle', 'car', 'car', 'car', 'car', 'car', 'car', 'traffic light', 'traffic light', 'traffic light', 'car']","[[201.21806, 24.102041, 493.43326, 388.0], [395.31305, 80.78353, 480.97552, 115.652596], [149.25706, 72.799644, 236.34692, 113.87171], [366.1281, 87.19709, 398.62817, 109.738884], [474.3148, 78.51566, 515.29254, 119.77812], [71.32042, 75.50458, 87.34802, 95.36375], [86.44509, 81.63128, 109.26516, 95.21491], [95.692184, 68.103584, 100.46595, 73.37126], [108.968056, 25.896662, 116.60916, 37.681473], [190.3567, 42.575325, 195.36514, 49.176598], [122.44215, 79.49003, 131.71225, 93.650505]]","[0.885, 0.957, 0.966, 0.825, 0.832, 0.95, 0.828, 0.929, 0.894, 0.814, 0.864]"
000000403385.jpg,"['toilet', 'sink']","[[411.20383, 235.95392, 502.86465, 474.30164], [4.6713057, 308.5261, 147.54094, 391.2343]]","[0.997, 0.908]"
000000006818.jpg,['toilet'],"[[187.33493, 473.14908, 290.72485, 523.3451]]",[0.863]
000000480985.jpg,"['person', 'motorcycle', 'person', 'person', 'person', 'person', 'motorcycle', 'bowl']","[[318.11777, 273.1252, 348.25, 380.99197], [8.111258, 47.411507, 337.9055, 463.55933], [31.564142, 299.21588, 49.336315, 330.20822], [48.28091, 295.28616, 73.17933, 332.2034], [267.481, 297.70786, 291.76196, 382.80313], [9.62748, 301.95618, 26.436945, 334.03714], [292.1018, 315.37216, 327.7705, 365.3035], [294.26224, 83.73778, 332.51498, 113.97889]]","[0.979, 0.894, 0.815, 0.925, 0.889, 0.887, 0.999, 0.874]"
000000458054.jpg,"['toilet', 'toilet', 'toilet', 'toilet']","[[112.480316, 64.845055, 550.63605, 389.3248], [126.79198, 150.30411, 421.0596, 398.9768], [224.23209, 15.775971, 421.37344, 191.21396], [28.684738, 3.111277, 393.45825, 411.6973]]","[0.825, 0.832, 0.997, 0.858]"
000000331352.jpg,"['toilet', 'toilet', 'sink']","[[54.826958, 246.49715, 314.81454, 491.44608], [25.366587, 66.97458, 322.61353, 478.18884], [61.75369, 59.153202, 292.54584, 150.74368]]","[0.919, 0.865, 0.972]"
