label,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
aeroplane,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bicycle,0,260,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
bird,0,0,373,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0
boat,0,0,0,195,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
bottle,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bus,0,0,0,0,0,168,5,0,0,0,0,0,0,0,0,0,0,0,2,0
car,0,1,0,0,0,1,1096,0,0,0,0,0,0,1,0,0,0,0,0,0
cat,0,0,0,0,0,0,0,291,0,0,0,7,0,0,1,0,2,0,0,0
chair,0,1,0,0,0,0,0,0,485,0,1,0,0,0,2,0,0,18,0,0
cow,0,0,0,0,0,0,0,0,0,215,0,0,4,0,0,0,0,0,0,0
diningtable,0,0,0,0,0,0,0,0,3,0,137,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,0,4,0,2,0,387,6,0,2,0,5,0,0,0
horse,0,0,0,0,0,0,0,0,0,6,0,1,287,0,4,0,1,0,0,0
motorbike,0,1,0,0,0,0,0,0,0,0,0,0,0,250,9,0,0,0,0,0
person,0,2,0,0,1,0,0,0,7,1,0,1,1,0,3709,0,0,4,0,0
pottedplant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,259,0,0,0,0
sheep,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,189,0,0,0
sofa,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,195,0,0
train,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0
tvmonitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
