Ground_Truth,Prediction,Occurences
bicycle - 66.0,car - 69.71,1
bicycle - 66.0,chair - 31.67,1
bicycle - 66.0,motorbike - 65.87,1
bicycle - 66.0,person - 68.75,2
boat - 44.9,train - 75.17,1
bottle - 38.52,person - 68.75,1
bus - 64.94,car - 69.71,1
car - 69.71,boat - 44.9,1
car - 69.71,bus - 64.94,5
cat - 77.39,dog - 71.34,4
chair - 31.67,diningtable - 42.54,3
chair - 31.67,person - 68.75,7
chair - 31.67,sofa - 44.44,3
cow - 64.38,dog - 71.34,2
cow - 64.38,horse - 72.54,6
cow - 64.38,person - 68.75,1
cow - 64.38,sheep - 59.79,3
diningtable - 42.54,chair - 31.67,1
dog - 71.34,bird - 63.13,1
dog - 71.34,cat - 77.39,7
dog - 71.34,horse - 72.54,1
dog - 71.34,person - 68.75,1
horse - 72.54,bird - 63.13,1
horse - 72.54,cow - 64.38,4
horse - 72.54,dog - 71.34,6
horse - 72.54,person - 68.75,1
motorbike - 65.87,bicycle - 66.0,2
motorbike - 65.87,car - 69.71,1
person - 68.75,bicycle - 66.0,1
person - 68.75,bird - 63.13,3
person - 68.75,cat - 77.39,1
person - 68.75,chair - 31.67,2
person - 68.75,dog - 71.34,2
person - 68.75,horse - 72.54,4
person - 68.75,motorbike - 65.87,9
person - 68.75,pottedplant - 34.22,1
person - 68.75,sofa - 44.44,1
sheep - 59.79,bird - 63.13,1
sheep - 59.79,cat - 77.39,2
sheep - 59.79,dog - 71.34,5
sheep - 59.79,horse - 72.54,1
sofa - 44.44,boat - 44.9,1
sofa - 44.44,chair - 31.67,18
sofa - 44.44,person - 68.75,4
train - 75.17,bus - 64.94,2
