label,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
aeroplane,17,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
bicycle,2,22,0,5,0,0,1,0,0,0,1,0,0,6,1,0,0,0,1,0
bird,3,2,19,2,1,0,1,5,1,2,0,9,0,0,5,0,3,6,0,0
boat,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bottle,0,1,0,1,32,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
bus,1,0,0,7,1,12,3,0,0,0,0,0,0,1,0,0,0,0,11,2
car,9,2,0,9,0,4,121,0,0,0,3,0,0,7,0,0,0,14,30,0
cat,1,1,4,5,0,0,3,26,4,4,2,27,6,0,7,0,8,12,6,0
chair,0,3,0,3,0,0,2,0,53,0,1,0,1,0,2,0,0,7,0,0
cow,0,0,4,0,0,0,1,6,0,17,0,14,7,0,0,0,17,4,0,0
diningtable,3,0,0,5,0,0,7,0,1,0,20,0,0,0,0,0,0,1,1,0
dog,0,0,3,5,0,0,2,16,2,12,1,34,12,0,9,0,12,17,7,0
horse,6,3,3,6,0,0,1,2,1,12,0,16,18,4,0,0,4,4,3,0
motorbike,5,17,0,15,0,0,4,0,0,0,2,0,1,30,1,0,0,4,8,0
person,10,3,0,26,3,0,5,2,7,2,0,3,7,2,355,0,0,31,15,0
pottedplant,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,0,1,0,0
sheep,0,0,2,0,0,0,0,2,1,3,0,5,0,0,0,0,14,1,0,0
sofa,1,0,0,6,0,0,8,0,7,1,0,0,0,0,0,0,0,25,0,0
train,3,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,18,1
tvmonitor,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,35
