image_id,dimension,class_name,inference_time,bboxes,scores
000000000139.jpg,"[416.0, 277.0]","['tv', 'chair']",2.6422507762908936,"[[5, 108, 98, 169], [192, 142, 230, 204]]","['0.844', '0.887']"
000000000285.jpg,"[381.0, 416.0]",['bear'],2.6806814670562744,"[[5, 34, 386, 406]]",['0.989']
000000000632.jpg,"[416.0, 314.0]","['bed', 'potted plant', 'potted plant']",2.840349674224853,"[[6, 178, 253, 309], [219, 137, 277, 230], [123, 86, 154, 150]]","['0.919', '0.885', '0.815']"
000000000724.jpg,"[312.0, 416.0]",['stop sign'],2.7083325386047363,"[[100, 61, 213, 185]]",['0.988']
000000000776.jpg,"[278.0, 416.0]",['teddy bear'],2.753445863723755,"[[-1, 179, 208, 410]]",['0.966']
000000000785.jpg,"[416.0, 276.0]",['person'],2.667752742767334,"[[181, 30, 323, 245]]",['0.999']
000000000802.jpg,"[276.0, 416.0]","['refrigerator', 'oven']",2.629798173904419,"[[153, 120, 264, 342], [21, 184, 103, 341]]","['0.984', '0.963']"
000000000872.jpg,"[404.0, 416.0]",['person'],2.6717851161956787,"[[102, 83, 245, 390]]",['0.981']
000000000885.jpg,"[416.0, 278.0]","['person', 'person', 'tennis racket', 'person']",2.6561908721923833,"[[183, 122, 269, 257], [387, 19, 417, 162], [260, 176, 311, 200], [195, 56, 257, 150]]","['0.988', '0.976', '0.868', '0.806']"
000000001000.jpg,"[416.0, 312.0]","['person', 'person', 'person', 'person', 'person', 'person']",2.796222686767578,"[[78, 93, 130, 251], [173, 60, 228, 268], [28, 119, 73, 256], [325, 121, 414, 316], [261, 122, 337, 316], [213, 98, 271, 306]]","['0.981', '0.980', '0.958', '0.942', '0.909', '0.882']"
000000001268.jpg,"[416.0, 278.0]","['person', 'person', 'handbag', 'person']",2.666367769241333,"[[322, 57, 416, 274], [262, 133, 303, 190], [321, 129, 391, 265], [13, 138, 47, 184]]","['0.995', '0.989', '0.905', '0.818']"
000000001296.jpg,"[278.0, 416.0]",['person'],2.669306755065918,"[[1, 6, 289, 409]]",['0.997']
000000001353.jpg,"[312.0, 416.0]",[],2.6114516258239746,[],[]
000000001425.jpg,"[416.0, 333.0]",['cake'],2.7178173065185547,"[[39, 122, 284, 252]]",['0.848']
000000001490.jpg,"[416.0, 205.0]",['person'],2.68305778503418,"[[295, 76, 324, 155]]",['0.987']
000000001503.jpg,"[416.0, 312.0]","['keyboard', 'laptop', 'mouse', 'tv']",2.6805312633514404,"[[218, 196, 407, 258], [-1, 128, 162, 303], [160, 233, 205, 257], [164, 16, 306, 134]]","['0.991', '0.991', '0.961', '0.909']"
000000001532.jpg,"[416.0, 312.0]","['car', 'car', 'car']",2.66683030128479,"[[0, 245, 73, 312], [278, 258, 317, 293], [145, 234, 274, 315]]","['0.980', '0.962', '0.854']"
000000001584.jpg,"[416.0, 416.0]","['person', 'bus', 'bus', 'bus']",2.697420835494995,"[[53, 255, 66, 291], [84, 60, 352, 361], [347, 215, 384, 259], [387, 215, 415, 275]]","['0.869', '0.992', '0.855', '0.826']"
000000001675.jpg,"[416.0, 312.0]",['cat'],2.6779937744140625,"[[-13, 9, 421, 213]]",['0.959']
000000001761.jpg,"[278.0, 416.0]","['airplane', 'airplane']",2.6760058403015137,"[[98, 7, 145, 58], [180, 90, 216, 119]]","['0.970', '0.965']"
000000001818.jpg,"[416.0, 276.0]",['zebra'],2.6906697750091557,"[[-7, -1, 418, 283]]",['0.903']
000000001993.jpg,"[416.0, 272.0]","['chair', 'bed']",2.714926719665528,"[[72, 159, 148, 264], [170, 112, 398, 263]]","['0.920', '0.977']"
000000002006.jpg,"[416.0, 312.0]","['person', 'bus']",2.716914176940918,"[[4, 161, 33, 236], [35, 54, 385, 270]]","['0.990', '0.997']"
000000002149.jpg,"[416.0, 278.0]",[],2.698495388031006,[],[]
000000002153.jpg,"[416.0, 312.0]","['person', 'person']",2.75166654586792,"[[184, 185, 301, 288], [117, 1, 153, 77]]","['0.930', '0.918']"
000000002157.jpg,"[416.0, 278.0]","['wine glass', 'dining table', 'wine glass']",2.6958348751068115,"[[150, 32, 192, 130], [3, 15, 425, 288], [112, 45, 149, 119]]","['0.953', '0.945', '0.904']"
000000002261.jpg,"[416.0, 278.0]",[],2.727879524230957,[],[]
000000002299.jpg,"[416.0, 251.0]",[],2.793027400970459,[],[]
000000002431.jpg,"[297.0, 416.0]",['wine glass'],2.662561655044556,"[[196, -3, 273, 138]]",['0.992']
000000002473.jpg,"[416.0, 278.0]","['person', 'person', 'person']",2.6840813159942627,"[[76, 222, 93, 250], [161, 63, 242, 148], [287, 180, 322, 248]]","['0.967', '0.961', '0.946']"
000000002532.jpg,"[312.0, 416.0]",['person'],2.671166181564331,"[[118, 196, 184, 308]]",['0.933']
000000002587.jpg,"[416.0, 312.0]","['banana', 'donut']",2.724029302597046,"[[45, 54, 375, 298], [141, 18, 342, 211]]","['0.842', '0.857']"
000000002592.jpg,"[416.0, 238.0]","['knife', 'cup']",2.7300522327423096,"[[8, 144, 419, 210], [139, 23, 281, 159]]","['0.967', '0.980']"
000000002685.jpg,"[416.0, 361.0]","['person', 'person']",2.959302425384521,"[[103, 87, 330, 352], [253, 5, 407, 275]]","['0.992', '0.944']"
000000002923.jpg,"[416.0, 312.0]","['bird', 'bird']",2.651132345199585,"[[113, 196, 120, 209], [224, 200, 233, 213]]","['0.936', '0.904']"
000000003156.jpg,"[288.0, 416.0]",['person'],2.67191743850708,"[[3, 1, 266, 417]]",['0.986']
000000003255.jpg,"[416.0, 236.0]","['person', 'person', 'person']",2.6990184783935547,"[[167, 203, 177, 231], [176, 204, 187, 230], [152, 204, 163, 232]]","['0.948', '0.942', '0.826']"
000000003501.jpg,"[416.0, 416.0]",[],2.7239432334899902,[],[]
000000003553.jpg,"[416.0, 278.0]","['person', 'skateboard']",2.7008445262908936,"[[101, 2, 264, 164], [104, 158, 258, 244]]","['0.899', '0.878']"
000000003661.jpg,"[416.0, 250.0]",[],2.7230064868927,[],[]
000000003845.jpg,"[416.0, 312.0]","['dining table', 'chair', 'cup']",2.771451234817505,"[[3, -9, 415, 318], [377, 0, 417, 69], [90, 1, 153, 48]]","['0.974', '0.820', '0.963']"
000000003934.jpg,"[312.0, 416.0]","['wine glass', 'person', 'person', 'person', 'couch']",2.681980609893799,"[[182, 230, 196, 257], [165, 90, 196, 191], [132, 72, 171, 191], [51, 116, 188, 383], [116, 178, 313, 310]]","['0.886', '0.914', '0.910', '0.903', '0.901']"
000000004134.jpg,"[416.0, 276.0]","['person', 'person', 'tie', 'person', 'person', 'person']",2.77606201171875,"[[150, 30, 377, 278], [28, 24, 192, 275], [257, 125, 280, 235], [3, 69, 48, 172], [154, 81, 178, 133], [125, 80, 149, 164]]","['0.995', '0.975', '0.967', '0.923', '0.812', '0.800']"
000000004395.jpg,"[276.0, 416.0]","['person', 'tie']",2.6245675086975098,"[[3, 0, 280, 410], [112, 181, 171, 412]]","['0.999', '0.957']"
000000004495.jpg,"[416.0, 312.0]","['tv', 'chair', 'couch']",2.6824944019317627,"[[159, 91, 216, 146], [6, 126, 129, 275], [170, 164, 417, 314]]","['0.987', '0.921', '0.896']"
000000004765.jpg,"[416.0, 416.0]",['person'],2.657738447189331,"[[140, 86, 271, 259]]",['0.991']
000000004795.jpg,"[416.0, 312.0]","['laptop', 'cat']",2.6698310375213623,"[[1, 122, 119, 310], [112, 83, 349, 312]]","['0.973', '0.907']"
000000005001.jpg,"[416.0, 312.0]","['person', 'person', 'person']",2.723235607147217,"[[290, 31, 328, 105], [26, 62, 140, 224], [194, 32, 229, 91]]","['0.883', '0.842', '0.837']"
000000005037.jpg,"[416.0, 276.0]",['bus'],2.684875726699829,"[[59, 15, 379, 245]]",['0.990']
000000005060.jpg,"[312.0, 416.0]",['person'],2.6892364025115967,"[[105, 194, 206, 326]]",['0.911']
000000005193.jpg,"[416.0, 276.0]","['bottle', 'person', 'person', 'person', 'person']",2.6906039714813232,"[[239, 63, 251, 109], [0, 59, 145, 275], [188, 114, 263, 254], [245, 63, 315, 177], [246, 140, 316, 237]]","['0.819', '0.985', '0.942', '0.920', '0.824']"
000000005477.jpg,"[416.0, 227.0]",['airplane'],3.0132205486297607,"[[10, 63, 404, 184]]",['0.985']
000000005503.jpg,"[277.0, 416.0]",['person'],2.630051851272583,"[[6, 317, 223, 412]]",['0.864']
000000005529.jpg,"[289.0, 416.0]",['person'],2.758939027786255,"[[63, 81, 162, 269]]",['0.992']
000000005586.jpg,"[416.0, 312.0]",['person'],2.707000970840454,"[[183, 89, 228, 203]]",['0.956']
000000005600.jpg,"[416.0, 235.0]","['bowl', 'bowl']",2.65942120552063,"[[78, 3, 247, 119], [135, 88, 348, 237]]","['0.900', '0.806']"
000000005992.jpg,"[416.0, 278.0]","['sheep', 'sheep', 'sheep']",2.6541903018951416,"[[134, 98, 323, 276], [14, 83, 150, 242], [271, 80, 376, 267]]","['0.986', '0.984', '0.953']"
000000006012.jpg,"[416.0, 345.0]","['banana', 'banana']",2.684875726699829,"[[235, 94, 353, 320], [59, 92, 183, 324]]","['0.918', '0.852']"
000000006040.jpg,"[416.0, 228.0]",['train'],2.7672719955444336,"[[39, 52, 395, 195]]",['0.990']
000000006213.jpg,"[416.0, 276.0]",[],2.7087674140930176,[],[]
000000006460.jpg,"[416.0, 278.0]",['person'],2.685943126678467,"[[181, 90, 213, 140]]",['0.960']
000000006471.jpg,"[416.0, 277.0]","['person', 'person', 'person', 'baseball glove', 'person', 'person', 'person', 'person']",2.664088726043701,"[[72, 156, 198, 269], [223, 60, 293, 250], [15, 118, 100, 269], [177, 192, 201, 216], [75, 57, 128, 117], [180, 60, 215, 106], [141, 61, 190, 111], [343, 48, 376, 94]]","['0.994', '0.971', '0.953', '0.903', '0.893', '0.857', '0.816', '0.807']"
000000006614.jpg,"[416.0, 329.0]",[],2.7540743350982666,[],[]
000000006723.jpg,"[416.0, 235.0]","['car', 'car']",2.7077786922454834,"[[182, 130, 196, 137], [133, 130, 155, 148]]","['0.876', '0.861']"
000000006763.jpg,"[312.0, 416.0]",['person'],2.6804373264312744,"[[4, 83, 293, 403]]",['0.955']
000000006771.jpg,"[416.0, 278.0]","['person', 'person', 'person', 'person']",2.700742483139038,"[[253, 87, 309, 150], [106, 70, 296, 280], [251, 103, 369, 274], [350, 108, 414, 284]]","['0.954', '0.935', '0.899', '0.825']"
000000006818.jpg,"[278.0, 416.0]",['toilet'],2.6587860584259038,"[[122, 306, 187, 342]]",['0.886']
000000006894.jpg,"[416.0, 312.0]",['elephant'],2.676464080810547,"[[-4, 54, 216, 313]]",['0.984']
000000006954.jpg,"[416.0, 312.0]","['person', 'person', 'person', 'frisbee', 'frisbee', 'person']",2.769618272781372,"[[249, 78, 414, 258], [-2, 69, 104, 288], [236, 100, 287, 211], [169, 151, 229, 216], [304, 155, 391, 233], [91, 91, 170, 209]]","['0.991', '0.960', '0.885', '0.874', '0.864', '0.821']"
000000007088.jpg,"[311.0, 416.0]","['person', 'umbrella']",2.680819034576416,"[[117, 135, 178, 302], [58, 110, 193, 170]]","['0.985', '0.897']"
000000007108.jpg,"[416.0, 277.0]","['elephant', 'elephant']",2.682535171508789,"[[79, 14, 273, 271], [252, 51, 414, 274]]","['0.993', '0.948']"
000000007278.jpg,"[416.0, 313.0]",['person'],2.718611478805542,"[[127, 39, 206, 99]]",['0.818']
000000007281.jpg,"[416.0, 235.0]","['person', 'person', 'person', 'person', 'horse', 'horse']",2.6853063106536865,"[[253, 85, 302, 191], [1, 148, 19, 175], [387, 131, 392, 138], [359, 126, 368, 143], [304, 108, 354, 234], [219, 122, 275, 234]]","['0.964', '0.940', '0.856', '0.839', '0.950', '0.854']"
000000007386.jpg,"[416.0, 277.0]",[],2.738978624343872,[],[]
