image_id,dimension,class_name,inference_time,bboxes,scores
000000000139.jpg,"[416.0, 277.0]","['tv', 'chair']",3.629705429077149,"[[5, 108, 98, 169], [192, 142, 230, 204]]","['0.844', '0.887']"
000000000285.jpg,"[381.0, 416.0]",['bear'],4.071624517440797,"[[5, 34, 386, 406]]",['0.989']
000000000632.jpg,"[416.0, 314.0]","['bed', 'potted plant', 'potted plant']",3.6991040706634517,"[[6, 178, 253, 309], [219, 137, 277, 230], [123, 86, 154, 150]]","['0.919', '0.885', '0.815']"
000000000724.jpg,"[312.0, 416.0]",['stop sign'],3.515742540359497,"[[100, 61, 213, 185]]",['0.988']
000000000776.jpg,"[278.0, 416.0]",['teddy bear'],3.5087456703186035,"[[-1, 179, 208, 410]]",['0.966']
000000000785.jpg,"[416.0, 276.0]",['person'],3.5515239238739014,"[[181, 30, 323, 245]]",['0.999']
000000000802.jpg,"[276.0, 416.0]","['refrigerator', 'oven']",3.5573952198028564,"[[153, 120, 264, 342], [21, 184, 103, 341]]","['0.984', '0.963']"
000000000872.jpg,"[404.0, 416.0]",['person'],3.577613115310669,"[[102, 83, 245, 390]]",['0.981']
000000000885.jpg,"[416.0, 278.0]","['tennis racket', 'person', 'person', 'person']",3.546571969985962,"[[260, 176, 311, 200], [183, 122, 269, 257], [387, 19, 417, 162], [195, 56, 257, 150]]","['0.868', '0.988', '0.976', '0.806']"
000000001000.jpg,"[416.0, 312.0]","['person', 'person', 'person', 'person', 'person', 'person']",3.6082863807678223,"[[78, 93, 130, 251], [173, 60, 228, 268], [28, 119, 73, 256], [325, 121, 414, 316], [261, 122, 337, 316], [213, 98, 271, 306]]","['0.981', '0.980', '0.958', '0.942', '0.909', '0.882']"
000000001268.jpg,"[416.0, 278.0]","['person', 'person', 'person', 'handbag']",3.5669753551483154,"[[322, 57, 416, 274], [262, 133, 303, 190], [13, 138, 47, 184], [321, 129, 391, 265]]","['0.995', '0.989', '0.818', '0.905']"
000000001296.jpg,"[278.0, 416.0]",['person'],3.467297077178955,"[[1, 6, 289, 409]]",['0.997']
000000001353.jpg,"[312.0, 416.0]",[],3.5595760345458984,[],[]
000000001425.jpg,"[416.0, 333.0]",['cake'],3.6251797676086426,"[[39, 122, 284, 252]]",['0.848']
000000001490.jpg,"[416.0, 205.0]",['person'],4.903962850570679,"[[295, 76, 324, 155]]",['0.987']
000000001503.jpg,"[416.0, 312.0]","['keyboard', 'tv', 'mouse', 'laptop']",3.544214963912964,"[[218, 196, 407, 258], [164, 16, 306, 134], [160, 233, 205, 257], [-1, 128, 162, 303]]","['0.991', '0.909', '0.961', '0.991']"
000000001532.jpg,"[416.0, 312.0]","['car', 'car', 'car']",3.618319034576416,"[[0, 245, 73, 312], [278, 258, 317, 293], [145, 234, 274, 315]]","['0.980', '0.962', '0.854']"
000000001584.jpg,"[416.0, 416.0]","['bus', 'bus', 'bus', 'person']",3.567967414855957,"[[84, 60, 352, 361], [347, 215, 384, 259], [387, 215, 415, 275], [53, 255, 66, 291]]","['0.992', '0.855', '0.826', '0.869']"
000000001675.jpg,"[416.0, 312.0]",['cat'],3.575982093811035,"[[-13, 9, 421, 213]]",['0.959']
000000001761.jpg,"[278.0, 416.0]","['airplane', 'airplane']",3.523270606994629,"[[98, 7, 145, 58], [180, 90, 216, 119]]","['0.970', '0.965']"
000000001818.jpg,"[416.0, 276.0]",['zebra'],3.615481615066528,"[[-7, -1, 418, 283]]",['0.903']
000000001993.jpg,"[416.0, 272.0]","['bed', 'chair']",4.575328350067139,"[[170, 112, 398, 263], [72, 159, 148, 264]]","['0.977', '0.920']"
000000002006.jpg,"[416.0, 312.0]","['bus', 'person']",3.593634366989136,"[[35, 54, 385, 270], [4, 161, 33, 236]]","['0.997', '0.990']"
000000002149.jpg,"[416.0, 278.0]",[],3.569246530532837,[],[]
000000002153.jpg,"[416.0, 312.0]","['person', 'person']",3.3126590251922607,"[[184, 185, 301, 288], [117, 1, 153, 77]]","['0.930', '0.918']"
000000002157.jpg,"[416.0, 278.0]","['dining table', 'wine glass', 'wine glass']",3.6379060745239262,"[[3, 15, 425, 288], [150, 32, 192, 130], [112, 45, 149, 119]]","['0.945', '0.953', '0.904']"
000000002261.jpg,"[416.0, 278.0]",[],3.4623982906341566,[],[]
000000002299.jpg,"[416.0, 251.0]",[],4.270404577255248,[],[]
000000002431.jpg,"[297.0, 416.0]",['wine glass'],4.51222562789917,"[[196, -3, 273, 138]]",['0.992']
000000002473.jpg,"[416.0, 278.0]","['person', 'person', 'person']",3.6391572952270512,"[[76, 222, 93, 250], [161, 63, 242, 148], [287, 180, 322, 248]]","['0.967', '0.961', '0.946']"
000000002532.jpg,"[312.0, 416.0]",['person'],3.559800386428833,"[[118, 196, 184, 308]]",['0.933']
000000002587.jpg,"[416.0, 312.0]","['donut', 'banana']",3.586755990982056,"[[141, 18, 342, 211], [45, 54, 375, 298]]","['0.857', '0.842']"
000000002592.jpg,"[416.0, 238.0]","['cup', 'knife']",3.8524396419525133,"[[139, 23, 281, 159], [8, 144, 419, 210]]","['0.980', '0.967']"
000000002685.jpg,"[416.0, 361.0]","['person', 'person']",4.6837801933288565,"[[103, 87, 330, 352], [253, 5, 407, 275]]","['0.992', '0.944']"
000000002923.jpg,"[416.0, 312.0]","['bird', 'bird']",3.60092568397522,"[[113, 196, 120, 209], [224, 200, 233, 213]]","['0.936', '0.904']"
000000003156.jpg,"[288.0, 416.0]",['person'],4.212950944900514,"[[3, 1, 266, 417]]",['0.986']
000000003255.jpg,"[416.0, 236.0]","['person', 'person', 'person']",3.663854360580444,"[[167, 203, 177, 231], [176, 204, 187, 230], [152, 204, 163, 232]]","['0.948', '0.942', '0.826']"
000000003501.jpg,"[416.0, 416.0]",[],3.671616792678833,[],[]
000000003553.jpg,"[416.0, 278.0]","['skateboard', 'person']",3.6002774238586426,"[[104, 158, 258, 244], [101, 2, 264, 164]]","['0.878', '0.899']"
000000003661.jpg,"[416.0, 250.0]",[],3.5974678993225098,[],[]
000000003845.jpg,"[416.0, 312.0]","['dining table', 'cup', 'chair']",3.322559595108032,"[[3, -9, 415, 318], [90, 1, 153, 48], [377, 0, 417, 69]]","['0.974', '0.963', '0.820']"
000000003934.jpg,"[312.0, 416.0]","['person', 'person', 'person', 'wine glass', 'couch']",3.4014759063720703,"[[165, 90, 196, 191], [132, 72, 171, 191], [51, 116, 188, 383], [182, 230, 196, 257], [116, 178, 313, 310]]","['0.914', '0.910', '0.903', '0.886', '0.901']"
000000004134.jpg,"[416.0, 276.0]","['tie', 'person', 'person', 'person', 'person', 'person']",3.685315608978272,"[[257, 125, 280, 235], [150, 30, 377, 278], [28, 24, 192, 275], [3, 69, 48, 172], [154, 81, 178, 133], [125, 80, 149, 164]]","['0.967', '0.995', '0.975', '0.923', '0.812', '0.800']"
000000004395.jpg,"[276.0, 416.0]","['tie', 'person']",3.554316759109497,"[[112, 181, 171, 412], [3, 0, 280, 410]]","['0.957', '0.999']"
000000004495.jpg,"[416.0, 312.0]","['tv', 'chair', 'couch']",3.6016623973846436,"[[159, 91, 216, 146], [6, 126, 129, 275], [170, 164, 417, 314]]","['0.987', '0.921', '0.896']"
000000004765.jpg,"[416.0, 416.0]",['person'],3.591715097427368,"[[140, 86, 271, 259]]",['0.991']
000000004795.jpg,"[416.0, 312.0]","['cat', 'laptop']",3.6347615718841553,"[[112, 83, 349, 312], [1, 122, 119, 310]]","['0.907', '0.973']"
000000005001.jpg,"[416.0, 312.0]","['person', 'person', 'person']",3.5804877281188965,"[[290, 31, 328, 105], [26, 62, 140, 224], [194, 32, 229, 91]]","['0.883', '0.842', '0.837']"
000000005037.jpg,"[416.0, 276.0]",['bus'],6.658883810043335,"[[59, 15, 379, 245]]",['0.990']
000000005060.jpg,"[312.0, 416.0]",['person'],3.51460075378418,"[[105, 194, 206, 326]]",['0.911']
000000005193.jpg,"[416.0, 276.0]","['person', 'person', 'person', 'person', 'bottle']",3.5405652523040767,"[[0, 59, 145, 275], [188, 114, 263, 254], [245, 63, 315, 177], [246, 140, 316, 237], [239, 63, 251, 109]]","['0.985', '0.942', '0.920', '0.824', '0.819']"
000000005477.jpg,"[416.0, 227.0]",['airplane'],3.9097628593444815,"[[10, 63, 404, 184]]",['0.985']
